Exam| RRB GROUP-D CBT-I
C| Theory & Practice / থিওরি অ্যান্ড প্র্যাকটিস (Theory & Practice)
D| Bleeding Bangles / ব্লিডিং ব্যাঙ্গলস (Bleeding Bangles)
Shift| 10/02/2026 12:45 PM - 2:15 PM
Correct| A
Difficulty| 6.21
Topic| 
SubTopic| 
QuestionID| GACA-000805

QEN| In August 2025, DRDO's Defence Metallurgical Research Laboratory (DMRL) transferred the technology for manufacturing high-strength radomes to which of the following companies?
QBN| আগস্ট ২০২৫-এ, ডিআরডিও-র ডিফেন্স মেটালার্জিক্যাল রিসার্চ ল্যাবরেটরি (DMRL) উচ্চ-শক্তির রেডোম (radomes) তৈরির প্রযুক্তি নিচের কোন কোম্পানির কাছে হস্তান্তর করেছে?
Common| 
Image| 
A| Bharat Dynamics Limited (BDL) / ভারত ডায়নামিক্স লিমিটেড (Bharat Dynamics Limited - BDL)
B| Bharat Heavy Electricals Limited (BHEL) / ভারত হেভি ইলেকট্রিক্যালস লিমিটেড (Bharat Heavy Electricals Limited - BHEL)
C| Hindustan Aeronautics Limited (HAL) / হিন্দুস্তান অ্যারোনটিক্স লিমিটেড (Hindustan Aeronautics Limited - HAL)
D| Armoured Vehicles Nigam Limited (AVNL) / আর্মড ভেহিকলস নিগম লিমিটেড (Armoured Vehicles Nigam Limited - AVNL)
Shift| 30/12/2025 12:45 PM - 2:15 PM
Correct| B
Difficulty| 7.89
Topic| 
SubTopic| 
QuestionID| GACA-000806

QEN| The National Red List Assessment Initiative, launched in India in October 2025, aligns with IUCN global standards and supports the country’s commitments under which of the following international frameworks?
QBN| অক্টোবর ২০২৫ সালে ভারতে চালু করা ন্যাশনাল রেড লিসত অ্যাসেসমেন্ট ইনিশিয়েটিভ (National Red List Assessment Initiative) আইইউসিএন (IUCN)-এর বৈশ্বিক মানগুলির সাথে সামঞ্জস্যপূর্ণ এবং নিচের কোন আন্তর্জাতিক কাঠামোর অধীনে দেশের প্রতিশ্রুতিগুলিকে সমর্থন করে?
Common| 
Image| 
A| Sendai Framework for Disaster Risk Reduction / দুর্যোগ ঝুঁকি হ্রাসের জন্য সেন্দাই ফ্রেমওয়ার্ক (Sendai Framework for Disaster Risk Reduction)
B| Ramsar Convention on Wetlands Framework / জলাভূমি সংক্রান্ত রামসার কনভেনশন ফ্রেমওয়ার্ক (Ramsar Convention on Wetlands Framework)
C| Kunming–Montreal Global Biodiversity Framework / কুনমিং-মন্ট্রিয়ল গ্লোবাল বায়োডাইভারসিটি ফ্রেমওয়ার্ক (Kunming–Montreal Global Biodiversity Framework)
D| Greenhouse Gas (GHG) Framework / গ্রিনহাউস গ্যাস (GHG) ফ্রেমওয়ার্ক [Greenhouse Gas (GHG) Framework]
Shift| 05/02/2026 9:00 AM - 10:30 AM
Correct| C
Difficulty| 5.51
Topic| 
SubTopic| 
QuestionID| GACA-000807

QEN| What is the prize money for Bal Sahitya Puraskar winners?
QBN| বাল সাহিত্য পুরস্কার বিজয়ীদের জন্য পুরস্কারের অর্থ কত?
Common| 
Image| 
A| ₹50,000 / ₹৫০,০০০
B| ₹25,000 / ₹২৫,০০০
C| ₹1,00,000 / ₹১,০০,০০০
D| ₹75,000 / ₹৭৫,০০০
Shift| 11/12/2025 9:00 AM - 10:30 AM
Correct| A
Difficulty| 6.96
Topic| 
SubTopic| 
QuestionID| GACA-000808

QEN| Which league launched in January 2025 featured international kabaddi teams and set up record-level participation?
QBN| জানুয়ারি ২০২৫ সালে চালু হওয়া কোন লিগে আন্তর্জাতিক কবাডি দলগুলি অংশ নিয়েছিল এবং রেকর্ড স্তরের অংশগ্রহণ সেট করেছিল?
Common| 
Image| 
A| Global Indian Pravasi Kabaddi League / গ্লোবাল ইন্ডিয়ান প্রবাসী কবাডি লিগ (Global Indian Pravasi Kabaddi League)
B| Indian Super Kabaddi / ইন্ডিয়ান সুপার কবাডি (Indian Super Kabaddi)
C| Kabaddi Premier Series / কাবাদি প্রিমিয়ার সিরিজ (Kabaddi Premier Series)
D| World Kabaddi League / ওয়ার্ল্ড কবাডি লিগ (World Kabaddi League)
Shift| 04/02/2026 12:45 PM - 2:15 PM
Correct| A
Difficulty| 7.05
Topic| 
SubTopic| 
QuestionID| GACA-000809

QEN| Who won the 'Best FIFA Men's Player' award for the 2024 season at the Best FIFA Football Awards in December 2024?
QBN| ডিসেম্বর ২০২৪-এ বেস্ট ফিফা ফুটবল অ্যাওয়ার্ডসে (The Best FIFA Football Awards) ২০২৪ মৌসুমের জন্য 'বেস্ট ফিফা মেনস প্লেয়ার' (Best FIFA Men's Player) পুরস্কার কে জিতেছেন?
Common| 
Image| 
A| Jude Bellingham / জুড বেলিংহাম (Jude Bellingham)
B| Erling Haaland / আর্লিং হ্যাল্যান্ড (Erling Haaland)
C| Rodri / রদ্রি (Rodri)
D| Vinícius Jr. / ভিনিসিয়াস জুনিয়র (Vinícius Jr.)
Shift| 09/01/2026 4:30 PM - 6:00 PM
Correct| D
Difficulty| 9.29
Topic| 
SubTopic| 
QuestionID| GACA-000810

QEN| On 9 May 2025, Finance Minister Nirmala Sitharaman directed banks to stay fully alert and ready in light of which specific situation?
QBN| ৯ মে ২০২৫-এ, অর্থমন্ত্রী নির্মলা সীতারামন কোন নির্দিষ্ট পরিস্থিতির আলোকে ব্যাংকগুলিকে সম্পূর্ণ সতর্ক এবং প্রস্তুত থাকার নির্দেশ দিয়েছিলেন?
Common| 
Image| 
A| Increasing prevalence of phishing scams / ফিশিং কেলেঙ্কারির ক্রমবর্ধমান প্রাদুর্ভাব (Increasing prevalence of phishing scams)
B| Heightened geopolitical tensions near border regions / সীমান্ত অঞ্চলের কাছাকাছি উচ্চ ভূরাজনৈতিক উত্তেজনা (Heightened geopolitical tensions near border regions)
C| Implementation of a new banking tax / একটি নতুন ব্যাংকিং করের বাস্তবায়ন (Implementation of a new banking tax)
D| Launch of a digital-only banking model / শুধুমাত্র ডিজিটাল ব্যাংকিং মডেলের প্রবর্তন (Launch of a digital-only banking model)
Shift| 21/12/2025 12:45 PM - 2:15 PM
Correct| B
Difficulty| 8.94
Topic| 
SubTopic| 
QuestionID| GACA-000811

QEN| ‘Agnibaan - SOrTeD’ (Sub-Orbital Technology Demonstrator) was launched on 30 May 2024 from India's first private launch pad called ______, established by Agnikul.
QBN| 'অগ্নিবাণ - সর্টেডে' (Agnibaan - SOrTeD - Sub-Orbital Technology Demonstrator) অগ্নিগুল দ্বারা প্রতিষ্ঠিত ভারতের প্রথম বেসরকারি লঞ্চ প্যাড থেকে ৩০ মে ২০২৪ তারিখে উৎক্ষেপণ করা হয়েছিল?
Common| 
Image| 
A| Prithvi / পৃথিবী (Prithvi)
B| Kawach / কবচ (Kawach)
C| Dhanush / ধনুষ (Dhanush)
D| Taramandal / তারামণ্ডল (Taramandal)
Shift| 30/12/2025 4:30 PM - 6:00 PM
Correct| C
Difficulty| 6.19
Topic| 
SubTopic| 
QuestionID| GACA-000812

QEN| In May 2025, who addressed the Global Space Exploration Conference (GLEX 2025) on behalf of India?
QBN| ২০২৫ সালের মে মাসে, ভারতের পক্ষে গ্লোবাল স্পেস এক্সপার্টিক কনফারেন্স (GLEX 2025)-এ কে ভাষণ দিয়েছিলেন?
Common| 
Image| 
A| Amit Shah / অমিত শাহ (Amit Shah)
B| Dr. Jitendra Singh / ড. জিতেন্দ্র সিং (Dr. Jitendra Singh)
C| S Somanath / এস সোমনাথ (S Somanath)
D| Narendra Modi / নরেন্দ্র মোদী (Narendra Modi)
Shift| 19/12/2025 12:45 PM - 2:15 PM
Correct| B
Difficulty| 7.26
Topic| 
SubTopic| 
QuestionID| GACA-000813

QEN| What is the purpose of the Indian AI tool ‘OncoMark’ introduced by Indian researchers in November 2025?
QBN| নভেম্বর ২০২৫ সালে ভারতীয় গবেষকদের দ্বারা প্রবর্তিত ভারতীয় এআই টুল 'অনকোমার্ক' (OncoMark)-এর উদ্দেশ্য কী?
Common| 
Image| 
A| To analyse cancer’s molecular hallmarks for personalised diagnosis and therapy / ব্যক্তিগতকৃত রোগ নির্ণয় এবং থেরাপির জন্য ক্যান্সারের আণবিক বৈশিষ্ট্যগুলি বিশ্লেষণ করা (To analyse cancer's molecular hallmarks for personalised diagnosis and therapy)
B| To create standard cancer treatment guidelines for hospitals and clinics / হাসপাতাল এবং ক্লিনিকগুলির জন্য স্ট্যান্ডার্ড ক্যান্সার চিকিৎসার নির্দেশিকা তৈরি করা (To create standard cancer treatment guidelines for hospitals and clinics)
C| To conduct public cancer awareness programmes through digital platforms / ডিজিটাল প্ল্যাটফর্মের মাধ্যমে জনসাধারণের মধ্যে ক্যান্সার সচেতনতা কর্মসূচি পরিচালনা করা (To conduct public cancer awareness programmes through digital platforms)
D| To maintain nationwide cancer patient data for government health records / সরকারি স্বাস্থ্য রেকর্ডের জন্য দেশব্যাপী ক্যান্সার রোগীর ডেটা বজায় রাখা (To maintain nationwide cancer patient data for government health records)
Shift| 27/12/2025 4:30 PM - 6:00 PM
Correct| A
Difficulty| 5.81
Topic| 
SubTopic| 
QuestionID| GACA-000814

QEN| Where was the first-ever national conference of Urban Local Body Chairpersons across Indian States and UTs inaugurated by the Lok Sabha Speaker Shri Om Birla in July 2025?
QBN| জুলাই ২০২৫-এ লোকসভার স্পিকার শ্রী ওম বিড়লা দ্বারা ভারতীয় রাজ্য এবং কেন্দ্রশাসিত অঞ্চলগুলির আরবান লোক বডি চেয়ারপারসনদের প্রথম জাতীয় সম্মেলন কোথায় উদ্বোধন করা হয়েছিল?
Common| 
Image| 
A| Noida / নয়ডা (Noida)
B| Ahmedabad / আহমেদাবাদ (Ahmedabad)
C| Chandigarh / চণ্ডীগড় (Chandigarh)
D| Gurugram / গুরুগ্রাম (Gurugram)
Shift| 28/11/2025 9:00 AM - 10:30 AM
Correct| D
Difficulty| 9.11
Topic| 
SubTopic| 
QuestionID| GACA-000815

QEN| As per the India Justice Report, 2025, (which presents a comprehensive assessment of the capacity and performance of Indian states in delivering justice) which of the following states ranked top among small states?
QBN| ইন্ডিয়া জাস্টিস রিপোর্ট ২০২৫ (India Justice Report, 2025) অনুসারে (যা বিচার প্রদানে ভারতীয় রাজ্যগুলির ক্ষমতা এবং কর্মক্ষমতার একটি বিশদ মূল্যায়ন উপস্থাপন করে), ছোট রাজ্যগুলির মধ্যে কোন রাজ্য শীর্ষস্থান অর্জন করেছে?
Common| 
Image| 
A| Goa / গোয়া (Goa)
B| Sikkim / সিকিম (Sikkim)
C| Manipur / মণিপুর (Manipur)
D| Nagaland / নাগাল্যান্ড (Nagaland)
Shift| 04/12/2025 9:00 AM - 10:30 AM
Correct| B
Difficulty| 8.92
Topic| 
SubTopic| 
QuestionID| GACA-000816

QEN| Which of the following was the impact of the Election Commission of India Network (ECINET) on the publication of Index Cards during elections?
QBN| নির্বাচনের সময় ইনডেক্স কার্ড (Index Cards) প্রকাশের ওপর নির্বাচন কমিশন অফ ইন্ডিয়া নেটওয়ার্ক (ECINET)-এর প্রভাব কী ছিল?
Common| 
Image| 
A| Cards were handwritten by officials at local polling stations. / কার্ডগুলি স্থানীয় ভোটকেন্দ্রে কর্মকর্তাদের দ্বারা হাতে লেখা হত। (Cards were handwritten by officials at local polling stations.)
B| Cards were available within 72 hours of results. / ফলাফল প্রকাশের বাহাত্তর ঘণ্টার মধ্যে কার্ডগুলি উপলব্ধ ছিল। (Cards were available within 72 hours of results.)
C| Publication was delayed by several additional weeks. / প্রকাশনাটি আরও বেশ কয়েক সপ্তাহ বিলম্বিত হয়েছিল। (Publication was delayed by several additional weeks.)
D| Cards were discontinued as part of new digital reforms. / নতুন ডিজিটাল সংস্কারের অংশ হিসেবে কার্ডগুলি বন্ধ করে দেওয়া হয়েছিল। (Cards were discontinued as part of new digital reforms.)
Shift| 11/12/2025 9:00 AM - 10:30 AM
Correct| B
Difficulty| 6.35
Topic| 
SubTopic| 
QuestionID| GACA-000817

QEN| In June 2025, which of the following states increased the quota for minorities under its housing schemes from 10% to 15%?
QBN| জুন ২০২৫-এ, নিচের কোন রাজ্য তাদের আবাসন স্কিমের অধীনে সংখ্যালঘুদের জন্য কোটা ১০% থেকে বাড়িয়ে ১৫% করেছে?
Common| 
Image| 
A| Assam / আসাম (Assam)
B| Kerala / কেরালা (Kerala)
C| Gujarat / গুজরাট (Gujarat)
D| Karnataka / কর্ণাটক (Karnataka)
Shift| 24/12/2025 9:00 AM - 10:30 AM
Correct| D
Difficulty| 7.88
Topic| 
SubTopic| 
QuestionID| GACA-000818

QEN| Which summit saw the participation of 16 states, the EU, and NATO in early March 2025?
QBN| মার্চের শুরুতে ২০২৫ সালে কোন সম্মেলনে ১৬টি রাজ্য, ইইউ (EU) এবং ন্যাটো (NATO) অংশগ্রহণ করেছিল?
Common| 
Image| 
A| Shangri-La Dialogue / শ্যাংরি-লা ডায়ALOGUE (Shangri-La Dialogue)
B| London Summit on Ukraine / ইউক্রেন বিষয়ক লন্ডন শীর্ষ সম্মেলন (London Summit on Ukraine)
C| Munich Security Conference / মিউনিখ নিরাপত্তা সম্মেলন (Munich Security Conference)
D| UN General Assembly / জাতিসংঘ সাধারণ পরিষদ (UN General Assembly)
Shift| 19/12/2025 12:45 PM - 2:15 PM
Correct| B
Difficulty| 7.74
Topic| 
SubTopic| 
QuestionID| GACA-000819

QEN| What is the main aim of the Youth Spiritual Summit held in Varanasi on the banks of River Ganga in July 2025?
QBN| জুলাই ২০২৫-এ গঙ্গার তীরে বারাণসীতে অনুষ্ঠিত যুব আধ্যাত্মিক সম্মেলনের (Youth Spiritual Summit) মূল উদ্দেশ্য কী ছিল?
Common| 
Image| 
A| Support local youth in rural entrepreneurship / গ্রামীণ উদ্যোক্তাদের স্থানীয় যুবকদের সহায়তা করা (Support local youth in rural entrepreneurship)
B| Foster a national resolve against drug abuse / মাদক অপব্যবহারের বিরুদ্ধে জাতীয় সংকল্প গড়ে তোলা (Foster a national resolve against drug abuse)
C| Promote awareness about river conservation / নদী সংরক্ষণ সম্পর্কে সচেতনতা প্রচার করা (Promote awareness about river conservation)
D| Encourage use of digital tools for literacy / সাক্ষরতার জন্য ডিজিটাল সরঞ্জামের ব্যবহারকে উৎসাহিত করা (Encourage use of digital tools for literacy)
Shift| 05/12/2025 4:30 PM - 6:00 PM
Correct| B
Difficulty| 5.70
Topic| 
SubTopic| 
QuestionID| GACA-000820

QEN| Which of the following platforms will provide training to the new recruits inducted during the 15th edition of the Rozgar Mela in April 2025, apart from formal skill programmes?
QBN| এপ্রিল ২০২৫-এ ১৫তম রোজগার মেলা সংস্করণে অন্তর্ভুক্ত নতুন নিয়োগপ্রাপ্তদের জন্য আনুষ্ঠানিক দক্ষতা কর্মসূচি ছাড়াও নিচের কোন প্ল্যাটফর্মটি প্রশিক্ষণের ব্যবস্থা করবে?
Common| 
Image| 
A| National Career Service / ন্যাশনাল ক্যারিয়ার সার্ভিস (National Career Service)
B| e-Shram Portal / ই-শ্রম পোর্টাল (e-Shram Portal)
C| SWAYAM / স্বয়ং (SWAYAM)
D| iGOT Karmayogi / আই.জি.ও.টি. কর্মযোগী (iGOT Karmayogi)
Shift| 01/12/2025 4:30 PM - 6:00 PM
Correct| D
Difficulty| 8.43
Topic| 
SubTopic| 
QuestionID| GACA-000821

QEN| Where was the Fit India Carnival 2025 held?
QBN| ফিট ইন্ডিয়া কার্নিভাল ২০২৫ (Fit India Carnival 2025) কোথায় অনুষ্ঠিত হয়েছিল?
Common| 
Image| 
A| Jawaharlal Nehru Stadium, New Delhi / জওহরলাল নেহরু স্টেডিয়াম, নতুন দিল্লি (Jawaharlal Nehru Stadium, New Delhi)
B| Indira Gandhi Indoor Stadium, New Delhi / ইন্দিরা গান্ধী ইনডোর স্টেডিয়াম, নতুন দিল্লি (Indira Gandhi Indoor Stadium, New Delhi)
C| India Gate, New Delhi / ইন্ডিয়া গেট, নতুন দিল্লি (India Gate, New Delhi)
D| Red Fort, New Delhi / লাল কেল্লা, নতুন দিল্লি (Red Fort, New Delhi)
Shift| 12/12/2025 4:30 PM - 6:00 PM
Correct| A
Difficulty| 7.43
Topic| 
SubTopic| 
QuestionID| GACA-000822

QEN| Which legislation enacted in August 2025 provides a regulatory framework for safe online gaming in India and aims to protect citizens from the threat of online money-gaming activities?
QBN| আগস্ট ২০২৫ সালে প্রণীত কোন আইনটি ভারতে নিরাপদ অনলাইন গেমিংয়ের জন্য একটি নিয়ন্ত্রক কাঠামো প্রদান করে এবং নাগরিকদের অনলাইন মানি-গেমিং কার্যকলাপের হুমকি থেকে রক্ষা করার লক্ষ্য রাখে?
Common| 
Image| 
A| The Responsible Digital Gaming Bill, 2025 / দ্য রেসপন্সিবল ডিজিটাল গেমিং বিল, ২০২৫ (The Responsible Digital Gaming Bill, 2025)
B| The Online Gaming (Control and Regulation) Bill, 2025 / দ্য অনলাইন গেমিং (কন্ট্রোল অ্যান্ড রেগুলেশন) বিল, ২০২৫ [The Online Gaming (Control and Regulation) Bill, 2025]
C| The Internet Safety and Gaming Bill, 2025 / দ্য ইন্টারনেট সেফটি অ্যান্ড গেমিং বিল, ২০২৫ (The Internet Safety and Gaming Bill, 2025)
D| The Promotion and Regulation of Online Gaming Bill, 2025 / দ্য প্রমোশন অ্যান্ড রেগুলেশন অফ অনলাইন গেমিং বিল, ২০২৫ [The Promotion and Regulation of Online Gaming Bill, 2025]
Shift| 10/12/2025 12:45 PM - 2:15 PM
Correct| D
Difficulty| 8.51
Topic| 
SubTopic| 
QuestionID| GACA-000823

QEN| Against which team did Australia set the highest successful chase of 356
QBN| 5 in the 2025 Champions Trophy? / ২০২৫ চ্যাম্পিয়ন্স ট্রফিতে অস্ট্রেলিয়া কোন দলের বিরুদ্ধে ৩৫৬/৫ রানের সর্বোচ্চ সফল রান তাড়া করেছিল?
Common| 
Image| 
A| India / ভারত (India)
B| South Africa / দক্ষিণ আফ্রিকা (South Africa)
C| Afganistan / আফগানিস্তান (Afghanistan)
D| England / ইংল্যান্ড (England)
Shift| 09/01/2026 9:00 AM - 10:30 AM
Correct| D
Difficulty| 7.39
Topic| 
SubTopic| 
QuestionID| GACA-000824

QEN| In news in 2025, MISHTI scheme for ecological and community sustainability stands for:
QBN| পরিবেশগত এবং সম্প্রদায়ের স্থায়িত্বের জন্য ২০২৫ সালে সংবাদের শিরোনামে থাকা 'মিষ্টি' (MISHTI) স্কিমটির পূর্ণরূপ কী?
Common| 
Image| 
A| Marine Initiative for Sustainable Habitat and Income / মেরিন ইনিশিয়েটিভ ফর সাস্টেইনেবল হ্যাবিট্যাট অ্যান্ড ইনকাম (Marine Initiative for Sustainable Habitat and Income)
B| Mangrove Initiative for Shoreline Habitats and Tangible Incomes / ম্যানগ্রোভ ইনিশিয়েটিভ ফর শোরলাইন হ্যাবিট্যাটস অ্যান্ড ট্যানজিবল ইনকামস (Mangrove Initiative for Shoreline Habitats and Tangible Incomes)
C| Mangrove Improvement Scheme for Health and Technology Integration / ম্যানগ্রোভ ইমপ্রুভমেন্ট স্কিম ফর হেলথ অ্যান্ড টেকনোলজি ইন্টিগ্রেশন (Mangrove Improvement Scheme for Health and Technology Integration)
D| Mission for Inland Sustainable Tree Harvesting and Innovation / মিশন ফর ইনল্যান্ড সাস্টেইনেবল ট্রি হারভেস্টিং অ্যান্ড ইনোভেশন (Mission for Inland Sustainable Tree Harvesting and Innovation)
Shift| 24/12/2025 9:00 AM - 10:30 AM
Correct| B
Difficulty| 5.01
Topic| 
SubTopic| 
QuestionID| GACA-000825

QEN| In February 2025, in which district did the NDRF launch an avalanche rescue operation?
QBN| ফেব্রুয়ারি ২০২৫-এ, এনডিআরএফ (NDRF) কোন জেলায় তুষারধস বা অ্যাভালাঞ্চ উদ্ধার অভিযান শুরু করেছিল?
Common| 
Image| 
A| Shillong / শিলং (Shillong)
B| Uttarkashi / উত্তরকাশী (Uttarkashi)
C| Chamoli / চামোলি (Chamoli)
D| Shimla / শিমলা (Shimla)
Shift| 09/12/2025 4:30 PM - 6:00 PM
Correct| C
Difficulty| 6.47
Topic| 
SubTopic| 
QuestionID| GACA-000826

QEN| In June 2025, what was the Reserve Bank of India's (RBI) forecast for the average Consumer Price Index (CPI) inflation for FY26?
QBN| জুন ২০২৫-এ, অর্থমতক বা রিজার্ভ ব্যাংক অফ ইন্ডিয়ার (RBI) মতে এফওয়াই২৬ (FY26)-এর জন্য গড় কনজিউমার প্রাইস ইনডেক্স (CPI) মুদ্রাস্ফীতির পূর্বাভাস কত ছিল?
Common| 
Image| 
A| 3.5% / ৩.৫%
B| 4.1% / ৪.১%
C| 3.1% / ৩.১%
D| 3.7% / ৩.৭%
Shift| 12/12/2025 9:00 AM - 10:30 AM
Correct| D
Difficulty| 5.10
Topic| 
SubTopic| 
QuestionID| GACA-000827

QEN| In June 2025, with which of the following countries did Kolkata-based Garden Reach Shipbuilders and Engineers Limited (GRSE) sign an MoU to build the India’s first ever Polar Research Vessel (PRV) indigenously?
QBN| জুন ২০২৫-এ, কলকাতার গার্ডেন রিচ শিপবিল্ডার্স অ্যান্ড ইঞ্জিনিয়ার্স লিমিটেড (GRSE) ভারতের প্রথম পোলার রিসার্চ ভেসেল (PRV) দেশীয়ভাবে তৈরি করার জন্য কোন দেশের সাথে একটি সমঝোতা স্মারক স্বাক্ষর করেছে?
Common| 
Image| 
A| Norway / নরওয়ে (Norway)
B| Malta / মাল্টা (Malta)
C| Belgium / বেলজিয়াম (Belgium)
D| Austria / অস্ট্রিয়া (Austria)
Shift| 16/12/2025 9:00 AM - 10:30 AM
Correct| A
Difficulty| 9.18
Topic| 
SubTopic| 
QuestionID| GACA-000828

QEN| What was the primary technical issue that caused a delay of the Axiom-4 mission on 10 June 2025?
QBN| ১০ জুন ২০২৫-এ অ্যাক্সিওম-৪ (Axiom-4) মিশনের বিলম্বের প্রধান প্রযুক্তিগত কারণ কী ছিল?
Common| 
Image| 
A| Solar panel malfunction / সোলার প্যানেলের ত্রুটি (Solar panel malfunction)
B| Communication failure / যোগাযোগে ব্যর্থতা (Communication failure)
C| Engine overheating / ইঞ্জিন অতিরিক্ত গরম হওয়া (Engine overheating)
D| Liquid oxygen leak / তরল অক্সিজেন লিক (Liquid oxygen leak)
Shift| 17/12/2025 9:00 AM - 10:30 AM
Correct| D
Difficulty| 8.96
Topic| 
SubTopic| 
QuestionID| GACA-000829

QEN| In which city were the 2025 World Aquatics Championships held?
QBN| ২০২৫ ওয়ার্ল্ড অ্যাকুয়াটিক্স চ্যাম্পিয়নশিপ কোথায় অনুষ্ঠিত হয়েছিল?
Common| 
Image| 
A| Canada / কানাডা (Canada)
B| Japan / জাপান (Japan)
C| Singapore / সিঙ্গাপুর (Singapore)
D| United Arab Emirates / সংযুক্ত আরব আমিরাত (United Arab Emirates)
Shift| 24/12/2025 9:00 AM - 10:30 AM
Correct| C
Difficulty| 8.74
Topic| 
SubTopic| 
QuestionID| GACA-000830

QEN| In March 2025, the government of which of the following states announced to bring 5,000 hectares under afforestation during the year 2025-2026?
