Exam| RRB GROUP-D CBT-I
C| Anna University / আন্না বিশ্ববিদ্যালয় (Anna University)
D| SDAT Nehru Park / এসডিএটি নেহরু পার্ক (SDAT Nehru Park)
Shift| 29/12/2025 9:00 AM - 10:30 AM
Correct| A
Difficulty| 8.05
Topic| 
SubTopic| 
QuestionID| GACA-000706

QEN| Which new private reinsurer entered the Indian market in March 2025?
QBN| মার্চ ২০২৫-এ ভারতের বাজারে কোন নতুন বেসরকারি পুনঃবীমাকারী (reinsurer) প্রবেশ করেছে?
Common| 
Image| 
A| Valueattics Reinsurance / ভ্যালুঅ্যাটিক্স রিউন্স্যুরেন্স (Valueattics Reinsurance)
B| ABC Reinsurance / এবিসি রিউন্স্যুরেন্স (ABC Reinsurance)
C| Falcon Re / ফ্যালকন রে (Falcon Re)
D| General Re / জেনারেল রে (General Re)
Shift| 29/12/2025 4:30 PM - 6:00 PM
Correct| A
Difficulty| 9.02
Topic| 
SubTopic| 
QuestionID| GACA-000707

QEN| In April 2025, which of the following rules came into force?
QBN| এপ্রিল ২০২৫-এ নিচের কোন নিয়মটি কার্যকর হয়েছে?
Common| 
Image| 
A| Hazardous and Other Wastes (Management & Trans boundary Movement) Amendment Rules / বিপজ্জনক এবং অন্যান্য বর্জ্য (ব্যবস্থাপনা ও আন্তঃসীমান্ত স্থানান্তর) সংশোধনী বিধিমালা [Hazardous and Other Wastes (Management & Trans boundary Movement) Amendment Rules]
B| Plastic Waste Management (Amendment) Rules / প্লাস্টিক বর্জ্য ব্যবস্থাপনা (সংশোধনী) বিধিমালা [Plastic Waste Management (Amendment) Rules]
C| Bio-medical Waste (Management & Handling) Rules / বায়ো-মেডিকেল বর্জ্য (ব্যবস্থাপনা ও পরিচালনা) বিধিমালা [Bio-medical Waste (Management & Handling) Rules]
D| Environment Protection (End-of-Life Vehicles) Rules / পরিবেশ সুরক্ষা (এন্ড-অফ-লাইফ যানবাহন) বিধিমালা [Environment Protection (End-of-Life Vehicles) Rules]
Shift| 01/12/2025 12:45 PM - 2:15 PM
Correct| D
Difficulty| 5.40
Topic| 
SubTopic| 
QuestionID| GACA-000708

QEN| Which coach received the Dronacharya Award for shooting in 2025?
QBN| ২০২৫ সালে কোন কোচ শুটিংয়ে দ্রোণাচার্য পুরস্কার পেয়েছেন?
Common| 
Image| 
A| Sandeep Sangwan / সন্দীপ সাংওয়ান (Sandeep Sangwan)
B| S Muralidharan / এস মুরলিধরন (S Muralidharan)
C| Deepali Deshpande / দীপালি দেশপান্ডে (Deepali Deshpande)
D| Subhash Rana / সুভাষ রানা (Subhash Rana)
Shift| 12/12/2025 9:00 AM - 10:30 AM
Correct| C
Difficulty| 6.90
Topic| 
SubTopic| 
QuestionID| GACA-000709

QEN| Which city in Madhya Pradesh hosted the foundation stone ceremony of India’s first PM MITRA Park, attended by Prime Minister Narendra Modi?
QBN| প্রধানমন্ত্রী নরেন্দ্র মোদীর উপস্থিতিতে মধ্যপ্রদেশের কোন শহরে ভারতের প্রথম পিএম মিত্র পার্কের (PM MITRA Park) ভিত্তিপ্রস্তর স্থাপন অনুষ্ঠান অনুষ্ঠিত হয়েছিল?
Common| 
Image| 
A| Indore / ইন্দোর (Indore)
B| Gwalior / গোয়ালিয়র (Gwalior)
C| Bhopal / ভোপাল (Bhopal)
D| Dhar / ধার (Dhar)
Shift| 08/12/2025 4:30 PM - 6:00 PM
Correct| D
Difficulty| 5.14
Topic| 
SubTopic| 
QuestionID| GACA-000710

QEN| Which of the following schemes was launched by the Gujarat government in May 2025 that sends real-time SMS alerts to citizens about their police case progress?
QBN| ২০২৫ সালের মে মাসে গুজরাট সরকার নিচের কোন প্রকল্পটি চালু করেছে যা নাগরিকদের তাদের পুলিশ মামলার অগ্রগতি সম্পর্কে রিয়েল-টাইম এসএমএস সতর্কবার্তা পাঠায়?
Common| 
Image| 
A| FIR-Alert System / এফ.আই.আর-অ্যালার্ট সিস্টেম (FIR-Alert System)
B| e-Alert Gujarat / ই-অ্যালার্ট গুজরাট (e-Alert Gujarat)
C| I-Pragati / আই-প্রগতি (I-Pragati)
D| Citizen Police Update / সিটিজেন পুলিশ আপডেট (Citizen Police Update)
Shift| 14/12/2025 12:45 PM - 2:15 PM
Correct| C
Difficulty| 5.99
Topic| 
SubTopic| 
QuestionID| GACA-000711

QEN| In July 2025, who inaugurated the 'Mahila Aarogyam Kaksh' to promote women’s health at Shastri Bhawan?
QBN| ২০২৫ সালের জুলাইয়ে, শাস্ত্রী ভবনে নারীদের স্বাস্থ্যের সুবিধার্থে 'মহিলা আরোগ্যম কক্ষ' কে উদ্বোধন করেন?
Common| 
Image| 
A| Smriti Irani / স্মৃতি ইরানি (Smriti Irani)
B| Nirmala Sitharaman / নির্মলা সীতারামন (Nirmala Sitharaman)
C| Rajeev Chandrasekhar / রাজীব চন্দ্রশেখর (Rajeev Chandrasekhar)
D| Arjun Ram Meghwal / অর্জুন রাম মেঘওয়াল (Arjun Ram Meghwal)
Shift| 05/12/2025 12:45 PM - 2:15 PM
Correct| D
Difficulty| 7.28
Topic| 
SubTopic| 
QuestionID| GACA-000712

QEN| In August 2025, NITI Aayog unveiled an innovative framework to evaluate and compare the advancement of States and Union Territories towards their Electric Mobility objectives named ________.
QBN| ২০২৫ সালের আগস্টে, নীতি আয়োগ রাজ্য এবং কেন্দ্রশাসিত অঞ্চলগুলির ইলেকট্রিক মোবিলিটির লক্ষ্যগুলির অগ্রগতি মূল্যায়ন ও তুলনা করার জন্য কোন উদ্ভাবনী কাঠামো উন্মোচন করেছিল?
Common| 
Image| 
A| Sustainable Transport Index / টেকসই পরিবহন সূচক (Sustainable Transport Index)
B| Electric Vehicle Advancement Index / ইলেকট্রিক যানবাহন অগ্রগতি সূচক (Electric Vehicle Advancement Index)
C| India Electric Mobility Index / ইন্ডিয়া ইলেকট্রিক মোবিলিটি ইনডেক্স (India Electric Mobility Index)
D| National E-Mobility Mission Plan Index / ন্যাশনাল ই-মোবিলিটি মিশন প্ল্যান ইনডেক্স (National E-Mobility Mission Plan Index)
Shift| 08/12/2025 4:30 PM - 6:00 PM
Correct| C
Difficulty| 5.13
Topic| 
SubTopic| 
QuestionID| GACA-000713

QEN| The Indian Armed Forces contingent participating in the multilateral joint military exercise ZAPAD 2025 is being led by which regiment of the Indian Army?
QBN| বহুপাক্ষিক যৌথ সামরিক মহড়া ZAPAD 2025-এ অংশগ্রহণকারী ভারতীয় সশস্ত্র বাহিনীর কন্টিনজেন্টের নেতৃত্ব দিচ্ছে ভারতীয় সেনাবাহিনীর কোন রেজিমেন্ট?
Common| 
Image| 
A| Gorkha Regiment / গোর্খা রেজিমেন্ট (Gorkha Regiment)
B| Rajput Regiment / রাজপুত রেজিমেন্ট (Rajput Regiment)
C| Sikh Regiment / শিখ রেজিমেন্ট (Sikh Regiment)
D| Kumaon Regiment / কুমাওঁ রেজিমেন্ট (Kumaon Regiment)
Shift| 29/12/2025 12:45 PM - 2:15 PM
Correct| D
Difficulty| 5.90
Topic| 
SubTopic| 
QuestionID| GACA-000714

QEN| With which of the following institutes did the Data Informatics and Innovation Division of the Ministry of Statistics and Programme Implementation (MoSPI), sign a Memorandum of Understanding under the Data Innovation lab initiative in January 2025?
QBN| ২০২৫ সালের জানুয়ারিতে পরিসংখ্যান ও কর্মসূচি বাস্তবায়ন মন্ত্রকের (MoSPI) ডেটা ইনফরমেটিক্স অ্যান্ড ইনোভেশন বিভাগ ডেটা ইনোভেশন ল্যাব উদ্যোগের অধীনে নিচের কোন প্রতিষ্ঠানের সাথে একটি সমঝোতা স্মারক স্বাক্ষর করেছে?
Common| 
Image| 
A| National Institute of Technology Durgapur / ন্যাশনাল ইনস্টিটিউট অফ টেকনোলজি দুর্গাপুর (National Institute of Technology Durgapur)
B| National Institute of Technology Warangal / ন্যাশনাল ইনস্টিটিউট অফ টেকনোলজি ওয়ারাঙ্গেল (National Institute of Technology Warangal)
C| International Institute of Information Technology – Hyderabad(IIIT-Hyderabad) / ইন্টারন্যাশনাল ইনস্টিটিউট অফ ইনফরমেশন টেকনোলজি – হায়দ্রাবাদ (IIIT-Hyderabad)
D| Indraprastha Institute of Information Technology (IIIT-Delhi) / ইন্দ্রপ্রস্থ ইনস্টিটিউট অফ ইনফরমেশন টেকনোলজি (IIIT-Delhi)
Shift| 27/11/2025 4:30 PM - 6:00 PM
Correct| D
Difficulty| 7.93
Topic| 
SubTopic| 
QuestionID| GACA-000715

QEN| At the Paris Diamond League in June 2025, which athlete set a meet record of 48.81 s in the women’s 400 m?
QBN| ২০২৫ সালের জুনে প্যারিস ডায়মন্ড লিগে মহিলাদের ৪০০ মিটারে ৪৮.৮১ সেকেন্ডের মিট রেকর্ড গড়া অ্যাথলেট কে?
Common| 
Image| 
A| Faith Cherotich / ফেইথ চেরোটিচ (Faith Cherotich)
B| Mara Yamauchi / মারা ইয়ামাউচি (Mara Yamauchi)
C| Salwa Eid Naser / সালওয়া ইদ নাসের (Salwa Eid Naser)
D| Marileidy Paulino / মারিলেডি পাউলিনো (Marileidy Paulino)
Shift| 10/02/2026 12:45 PM - 2:15 PM
Correct| D
Difficulty| 7.46
Topic| 
SubTopic| 
QuestionID| GACA-000716

QEN| From 1 May 2025, which of the following portals did the Reserve Bank of India (RBI) mandate stakeholders to use?
QBN| ১ মে ২০২৫ থেকে ভারতীয় রিজার্ভ ব্যাংক স্টেকহোল্ডারদের কোন পোর্টালটি ব্যবহার করা বাধ্যতামূলক করেছে?
Common| 
Image| 
A| SAKSHAM Portal / সক্ষম পোর্টাল (SAKSHAM Portal)
B| VITARAN Portal / বিতরণ পোর্টাল (VITARAN Portal)
C| SEVA Portal / সেবা পোর্টাল (SEVA Portal)
D| PRAVAAH Portal / প্রবাহ পোর্টাল (PRAVAAH Portal)
Shift| 28/11/2025 9:00 AM - 10:30 AM
Correct| D
Difficulty| 6.00
Topic| 
SubTopic| 
QuestionID| GACA-000717

QEN| According to the October 2025 Monetary Policy Report of the Reserve Bank of India, what is the revised CPI inflation projection for FY 2025–26?
QBN| ভারতীয় রিজার্ভ ব্যাংকের অক্টোবর ২০২৫ সালের মুদ্রা নীতি প্রতিবেদন অনুসারে, ২০২৫-২৬ অর্থবর্ষের জন্য সংশোধিত সিপিআই (CPI) মুদ্রাস্ফীতি প্রক্ষেপণ কত?
Common| 
Image| 
A| 3.1% / ৩.১%
B| 2.2% / ২.২%
C| 2.6% / ২.৬%
D| 3.4% / ৩.৪%
Shift| 04/02/2026 9:00 AM - 10:30 AM
Correct| C
Difficulty| 7.66
Topic| 
SubTopic| 
QuestionID| GACA-000718

QEN| Which city hosted the first Indian Grand Prix athletics meet in March 2025?
QBN| ২০২৫ সালের মার্চ মাসে কোন শহর প্রথম ইন্ডিয়ান গ্র্যান্ড প্রিক্স অ্যাথলেটিক্স মিটের আয়োজন করেছিল?
Common| 
Image| 
A| Bhubaneswar / ভুবনেশ্বর (Bhubaneswar)
B| Bengaluru / বেঙ্গালুরু (Bengaluru)
C| Thiruvananthapuram / তিরুবনন্তপুরম (Thiruvananthapuram)
D| Chennai / চেন্নাই (Chennai)
Shift| 30/12/2025 12:45 PM - 2:15 PM
Correct| B
Difficulty| 8.64
Topic| 
SubTopic| 
QuestionID| GACA-000719

QEN| What was the new motto of Lokpal of India adopted by the full bench of Lokpal in June 2025?
QBN| ২০২৫ সালের জুনে লোকপালের পূর্ণাঙ্গ বেঞ্চ কর্তৃক লোকপাল অফ ইন্ডিয়ার গৃহীত নতুন আদর্শ বাক্য (motto) কী ছিল?
Common| 
Image| 
A| Empowering Youth against Corruption / দুর্নীতির বিরুদ্ধে যুবকদের ক্ষমতায়ন (Empowering Youth against Corruption)
B| Empower Citizens, Expose Corruption / নাগরিকদের ক্ষমতায়ন করুন, দুর্নীতি উন্মোচন করুন (Empower Citizens, Expose Corruption)
C| Prevent Corruption, Promote Growth / দুর্নীতি প্রতিরোধ করুন, প্রবৃদ্ধি বাড়ান (Prevent Corruption, Promote Growth)
D| Ma Gridhah Kasyasvidhanam / মা গৃধঃ কস্যস্বিদ্ধনম্ (Ma Gridhah Kasyasvidhanam)
Shift| 02/12/2025 4:30 PM - 6:00 PM
Correct| B
Difficulty| 5.04
Topic| 
SubTopic| 
QuestionID| GACA-000720

QEN| Which athlete received the Laureus World Sportswoman of the Year award in 2025?
QBN| কোন অ্যাথলেট ২০২৫ সালে লরিয়াস ওয়ার্ল্ড স্পোর্টসওম্যান অফ দ্য ইয়ার পুরস্কার পেয়েছেন?
Common| 
Image| 
A| Naomi Osaka / নাওমি ওসাকা (Naomi Osaka)
B| Iga Świątek / ইগা শিয়নতেক (Iga Świątek)
C| Simone Biles / সিমন বাইলস (Simone Biles)
D| A’ja Wilson / এজা উইলসন (A'ja Wilson)
Shift| 02/12/2025 4:30 PM - 6:00 PM
Correct| C
Difficulty| 8.63
Topic| 
SubTopic| 
QuestionID| GACA-000721

QEN| To enhance capabilities in indigenous hydrography, where will the Indian Navy launch INS ‘Ikshak’ in November 2025?
QBN| দেশীয় হাইড্রোগ্রাফির সক্ষমতা বাড়াতে, ভারতীয় নৌবাহিনী নভেম্বর ২০২৫-এ কোথায় আইএনএস 'ইক্ষক' (INS Ikshak) চালু করবে?
Common| 
Image| 
A| Chennai / চেন্নাই (Chennai)
B| Kochi / কোচি (Kochi)
C| Visakhapatnam / বিশাখাপত্তনম (Visakhapatnam)
D| Mumbai / মুম্বাই (Mumbai)
Shift| 09/02/2026 4:30 PM - 6:00 PM
Correct| B
Difficulty| 8.14
Topic| 
SubTopic| 
QuestionID| GACA-000722

QEN| Which agency is investigating the Mithi River Desilting Scam?
QBN| কোন সংস্থা মিঠি নদী পলি অপসারণ কেলেঙ্কারির তদন্ত করছে?
Common| 
Image| 
A| Mumbai Police / মুম্বাই পুলিশ (Mumbai Police)
B| Central Bureau of Investigation / সেন্ট্রাল ব্যুরো অফ ইনভেস্টিগেশন (Central Bureau of Investigation)
C| Enforcement Directorate / এনফোর্সমেন্ট ডিরেক্টরেট (Enforcement Directorate)
D| Delhi Police / দিল্লি পুলিশ (Delhi Police)
Shift| 09/01/2026 4:30 PM - 6:00 PM
Correct| C
Difficulty| 6.54
Topic| 
SubTopic| 
QuestionID| GACA-000723

QEN| By June 2025, to which stance did the Reserve Bank of India shift back after moving away from its accommodative policy?
QBN| ২০২৫ সালের জুনের মধ্যে, ভারতীয় রিজার্ভ ব্যাংক তার স্থানচ্যুতি নীতি থেকে সরে আসার পর কোন অবস্থানে ফিরে এসেছে?
Common| 
Image| 
A| Dovish / ডোভিশ (Dovish)
B| Restrictive / রেস্ট্রিক্টিভ (Restrictive)
C| Neutral / নিউট্রাল (Neutral)
D| Withdrawn / উইথড্রন (Withdrawn)
Shift| 19/12/2025 9:00 AM - 10:30 AM
Correct| C
Difficulty| 5.71
Topic| 
SubTopic| 
QuestionID| GACA-000724

QEN| Which of the following hockey players received the Arjuna Award in January 2025?
QBN| নিচের কোন হকি খেলোয়াড় ২০২৫ সালের জানুয়ারিতে অর্জুন পুরস্কার পেয়েছেন?
Common| 
Image| 
A| Gurjit Kaur / গুর্জিৎ কৌর (Gurjit Kaur)
B| Savita Punia / সবিতা পুনিয়া (Savita Punia)
C| Deep Grace Ekka / দীপ গ্রেস এক্কা (Deep Grace Ekka)
D| Salima Tete / সালিমা টেটে (Salima Tete)
Shift| 12/12/2025 12:45 PM - 2:15 PM
Correct| D
Difficulty| 9.31
Topic| 
SubTopic| 
QuestionID| GACA-000725

QEN| Which of the following is India's rank among the most polluted countries of the world as of IQ Air Report 2024?
QBN| আইকিউ এয়ার রিপোর্ট ২০২৪ (IQ Air Report 2024) অনুসারে বিশ্বের সবচেয়ে দূষিত দেশগুলির মধ্যে ভারতের স্থান কত?
Common| 
Image| 
A| 9 / ৯
B| 3 / ৩
C| 5 / ৫
D| 7 / ৭
Shift| 15/12/2025 12:45 PM - 2:15 PM
Correct| C
Difficulty| 6.52
Topic| 
SubTopic| 
QuestionID| GACA-000726

QEN| Where was the Global Fintech Fest (GFF) 2025 held?
QBN| গ্লোবাল ফিনটেক ফেস্ট (GFF) ২০২৫ কোথায় অনুষ্ঠিত হয়েছিল?
Common| 
Image| 
A| Jio World Convention Centre, Mumbai / জিও ওয়ার্ল্ড কনভেনশন সেন্টার, মুম্বাই (Jio World Convention Centre, Mumbai)
B| Vigyan Bhavan, New Delhi / বিজ্ঞান ভবন, নতুন দিল্লি (Vigyan Bhavan, New Delhi)
C| Lulu International Convention Centre, Kochi / লুলু ইন্টারন্যাশনাল কনভেনশন সেন্টার, কোচি (Lulu International Convention Centre, Kochi)
D| Bharat Mandapam, New Delhi / ভারত মণ্ডপম, নতুন দিল্লি (Bharat Mandapam, New Delhi)
Shift| 27/12/2025 4:30 PM - 6:00 PM
Correct| A
Difficulty| 5.43
Topic| 
SubTopic| 
QuestionID| GACA-000727

QEN| What is the name of the ChatGPT-style AI service set to be launched by Reliance Industries?
QBN| রিলায়েন্স ইন্ডাস্ট্রিজ কর্তৃক চালু হতে যাওয়া চ্যাটজিপিটি (ChatGPT) ধাঁচের এআই পরিষেবার নাম কী?
Common| 
Image| 
A| G P Style / জি পি স্টাইল (G P Style)
B| ChatGPT-style / চ্যাটজিপিটি-স্টাইল (ChatGPT-style)
C| Chat Reliance / চ্যাট রিলায়েন্স (Chat Reliance)
D| Hanooman / হনুমান (Hanooman)
Shift| 19/12/2025 4:30 PM - 6:00 PM
Correct| D
Difficulty| 5.44
Topic| 
SubTopic| 
QuestionID| GACA-000728

QEN| Which organisation developed Delhi's first Centre of Excellence for Sports in Dwarka's Sector 8, inaugurated in May 2025?
QBN| কোন সংস্থা দ্বারকার সেক্টর ৮-এ দিল্লির প্রথম সেন্টার অফ এক্সেলেন্স ফর স্পোর্টস তৈরি করেছে, যা মে ২০২৫-এ উদ্বোধন করা হয়েছিল?
Common| 
Image| 
A| Sports Authority of India (SAI) / স্পোর্টস অথরিটি অফ ইন্ডিয়া (Sports Authority of India)
B| Delhi Metro Rail Corporation (DMRC) / দিল্লি মেট্রো রেল কর্পোরেশন (Delhi Metro Rail Corporation)
C| Delhi Development Authority (DDA) / দিল্লি ডেভেলপমেন্ট অথরিটি (Delhi Development Authority)
D| Indian Olympic Association (IOA) / ইন্ডিয়ান অলিম্পিক অ্যাসোসিয়েশন (Indian Olympic Association)
Shift| 03/02/2026 12:45 PM - 2:15 PM
Correct| C
Difficulty| 8.82
Topic| 
SubTopic| 
QuestionID| GACA-000729

QEN| In May 2025, the RBI introduced a new Payments Regulatory Board of how many members to regulate and supervise payment systems in the country?
QBN| ২০২৫ সালের মে মাসে, আরবিআই দেশের পেমেন্ট সিস্টেম নিয়ন্ত্রণ ও তদারকি করার জন্য কতজন সদস্যের একটি নতুন পেমেন্টস রেগুলেটরি বোর্ড চালু করেছিল?
Common| 
Image| 
A| 6 / ৬
B| 10 / ১০
C| 4 / ৪
D| 8 / ৮
Shift| 05/02/2026 9:00 AM - 10:30 AM
Correct| A
Difficulty| 7.72
Topic| 
SubTopic| 
QuestionID| GACA-000730

QEN| In May 2025, what change did the Supreme Court make regarding environmental clearances (EC)?
QBN| মে ২০২৫-এ, সুপ্রিম কোর্ট পরিবেশগত ছাড়পত্র (EC) সংক্রান্ত কী পরিবর্তন এনেছিল?
Common| 
Image| 
A| Allowed clearances without public hearings / জনশুনানি ছাড়াই ছাড়পত্রের অনুমতি দেওয়া হয়েছিল
B| Approved retrospective clearances / ভূতাপেক্ষ ছাড়পত্র অনুমোদন করা হয়েছিল
C| Rejected retrospective ECs as illegal / ভূতাপেক্ষ ইসি-কে বেআইনি হিসেবে প্রত্যাখ্যান করা হয়েছিল
D| Made ECs optional / ইসি-কে ঐচ্ছিক করা হয়েছিল
Shift| 02/12/2025 12:45 PM - 2:15 PM
Correct| C
Difficulty| 8.63
Topic| 
SubTopic| 
QuestionID| GACA-000731

QEN| A 24-hour wildlife census using the waterhole method, which recorded the sighting of 73 Great Indian Bustards, was conducted in June 2025 in which of the following national parks?
QBN| ২০২৫ সালের জুনে ওয়াটারহোল পদ্ধতি ব্যবহার করে ২৪ ঘণ্টার বন্যপ্রাণী শুমারি, যাতে ৭৩টি গ্রেট ইন্ডিয়ান বাসটার্ড দর্শনের কথা নথিভুক্ত করা হয়েছে, তা নিচের কোন জাতীয় উদ্যানে পরিচালিত হয়েছিল?
Common| 
Image| 
A| Ranthambore National Park / রণথম্বোর জাতীয় উদ্যান (Ranthambore National Park)
B| Kanha National Park / কানহা জাতীয় উদ্যান (Kanha National Park)
C| Bandhavgarh National Park / বান্ধবগড় জাতীয় উদ্যান (Bandhavgarh National Park)
D| Desert National Park / ডেজার্ট জাতীয় উদ্যান (Desert National Park)
Shift| 09/01/2026 12:45 PM - 2:15 PM
Correct| D
Difficulty| 8.29
Topic| 
SubTopic| 
QuestionID| GACA-000732

QEN| Wild Fictions: Essays published in January 2025, is written by which author?
QBN| জানুয়ারি ২০২৫-এ প্রকাশিত 'ওয়াইল্ড ফিকশনস: এসেস' (Wild Fictions: Essays) বইটি কোন লেখকের লেখা?
Common| 
Image| 
A| Amitav Ghosh / অমিতাভ ঘোষ (Amitav Ghosh)
B| Santanu Bhattacharya / শান্তনু ভট্টাচার্য (Santanu Bhattacharya)
C| Gautam Bhatia / গৌতম ভাটিয়া (Gautam Bhatia)
D| Nidhi Razdan / নিধি রাজদান (Nidhi Razdan)
Shift| 04/12/2025 4:30 PM - 6:00 PM
Correct| A
Difficulty| 7.42
Topic| 
SubTopic| 
QuestionID| GACA-000733

QEN| In 2025, which new category was added by the Central Pollution Control Board to classify essential environmental services?
QBN| ২০২৫ সালে, অপরিহার্য পরিবেশগত পরিষেবার শ্রেণিবিভাগের জন্য কেন্দ্রীয় দূষণ নিয়ন্ত্রণ বোর্ড দ্বারা কোন নতুন বিভাগটি যুক্ত করা হয়েছিল?
Common| 
Image| 
A| Pink / গোলাপী (Pink)
B| Black / কালো (Black)
C| Purple / বেগুনি (Purple)
D| Blue / নীল (Blue)
Shift| 04/12/2025 12:45 PM - 2:15 PM
Correct| D
Difficulty| 9.38
Topic| 
SubTopic| 
QuestionID| GACA-000734

QEN| Under which Article of the Constitution of India was Justice Meenakshi Madan Rai appointed by the President to perform the duties of the Chief Justice of the Sikkim High Court in December 2025?
QBN| ভারতের সংবিধানের কোন অনুচ্ছেদের অধীনে রাষ্ট্রপতি কর্তৃক ২০২৫ সালের ডিসেম্বরে সিকিম হাইকোর্টের প্রধান বিচারপতির দায়িত্ব পালনের জন্য বিচারপতি মীনাক্ষী মদন রায়কে নিযুক্ত করা হয়েছিল?
Common| 
Image| 
A| Article 226 / অনুচ্ছেদ ২২৬ (Article 226)
B| Article 124 / অনুচ্ছেদ ১২৪ (Article 124)
C| Article 217 / অনুচ্ছেদ ২১৭ (Article 217)
D| Article 223 / অনুচ্ছেদ ২২৩ (Article 223)
Shift| 06/02/2026 9:00 AM - 10:30 AM
Correct| D
Difficulty| 6.71
Topic| 
SubTopic| 
QuestionID| GACA-000735

