Exam| RRB GROUP - D CBT - I
C| Kanpur / কানপুর
D| Hyderabad / হায়দরাবাদ
Shift|08/12/2025 12:45 PM - 2:15 PM
Correct|C
Difficulty|6.96

Q| In August 2025, the first phase of the Darwin Tree of Life (DToL) project neared completion. What is the primary aim of this international biodiversity initiative? / ২০২৫ সালের আগস্টে ডারউইন ট্রি অফ লাইফ (DToL) প্রকল্পের প্রথম ধাপ সমাপ্তির কাছাকাছি পৌঁছেছিল। এই আন্তর্জাতিক জীববৈচিত্র্য উদ্যোগের প্রাথমিক উদ্দেশ্য কী?
A| To engineer climate - resilient crops using data from ancestral plant genomes / পূর্বপুরুষের উদ্ভিদের জিনোম থেকে প্রাপ্ত তথ্য ব্যবহার করে জলবায়ু - সহনশীল ফসল তৈরি করা
B| To sequence the genomes of all eukaryotic species in Britain and Ireland / ব্রিটেন ও আয়ারল্যান্ডের সমস্ত ইউক্যারিওটিক প্রজাতির জিনোম সিকোয়েন্স করা
C| To map human migration patterns through ancient DNA found in fossils / জীবাশ্মে পাওয়া প্রাচীন ডিএনএ - র মাধ্যমে মানুষের অভিবাসনের ধরণ মানচিত্রভুক্ত করা
D| To decode the genetic basis of rare diseases in isolated human populations / বিচ্ছিন্ন মানব জনগোষ্ঠীর বিরল রোগের জেনেটিক ভিত্তি উন্মোচন করা
Shift|24/12/2025 4:30 PM - 6:00 PM
Correct|B
Difficulty|5.93

Q| As per the guidelines of the Reserve Bank of India, from 1 August 2025, the trading hours of market repo and Tri - Party Repo (TREP) were extended till what time? / ভারতীয় রিজার্ভ ব্যাংকের নির্দেশিকা অনুযায়ী, ২০২৫ সালের ১ আগস্ট থেকে মার্কেট রেপো এবং ট্রাই - পার্টি রেপো (TREP) - এর লেনদেনের সময়সীমা কতক্ষণ পর্যন্ত বাড়ানো হয়েছে?
A| 5:00 PM / বিকেল ৫:০০ টা (5:00 PM)
B| 4:00 PM / বিকেল ৪:০০ টা (4:00 PM)
C| 6:00 PM / সন্ধে ৬:০০ টা (6:00 PM)
D| 7:00 PM / সন্ধে ৭:০০ টা (7:00 PM)
Shift|05/12/2025 9:00 AM - 10:30 AM
Correct|B
Difficulty|5.22

Q| Which of the following portals was launched in Punjab in June 2025 that has helped digitise land records and curb corruption in registry services? / ২০২৫ সালের জুনে পাঞ্জাবে নিচের কোন পোর্টালটি চালু করা হয়েছে যা জমির রেকর্ড ডিজিটাইজ করতে এবং রেজিস্ট্রি পরিষেবায় দুর্নীতি কমাতে সাহায্য করেছে?
A| Punjab Land Records System / পাঞ্জাব ল্যান্ড রেকর্ডস সিস্টেম (Punjab Land Records System)
B| Easy Jamabandi Portal / ইজি জমাবন্দি পোর্টাল (Easy Jamabandi Portal)
C| Punjab Bhulekh Portal / পাঞ্জাব ভূলেখ পোর্টাল (Punjab Bhulekh Portal)
D| Digital Registry Punjab / ডিজিটাল রেজিস্ট্রি পাঞ্জাব (Digital Registry Punjab)
Shift|05/12/2025 9:00 AM - 10:30 AM
Correct|B
Difficulty|8.21

Q| By how much has the grant for National Championships in high - priority sports been increased, as per the 2025 announcement? / ২০২৫ সালের ঘোষণা অনুযায়ী, উচ্চ - অগ্রাধিকারমূলক খেলাধুলার জাতীয় চ্যাম্পিয়নশিপের জন্য অনুদান কত টাকা বাড়ানো হয়েছে?
A| ₹30 lakh / ₹৩০ লাখ
B| ₹51 lakh / ₹৫১ লাখ
C| ₹39 lakh / ₹৩৯ লাখ
D| ₹90 lakh / ₹৯০ লাখ
Shift|24/12/2025 4:30 PM - 6:00 PM
Correct|D
Difficulty|5.40

Q| As per the June 2025 India Child Protection report, what percentage of 44,902 rescued children were found in the worst forms of child labour? / জুন ২০২৫ - এর 'ইন্ডিয়া চাইল্ড প্রোটেকশন' রিপোর্ট অনুসারে, উদ্ধারকৃত ৪৪,৯০২ জন শিশুর মধ্যে কত শতাংশ শিশুকে শিশুশ্রমের সবচেয়ে ভয়াবহ রূপগুলোর মধ্যে নিযুক্ত পাওয়া গেছে?
A| 50% / ৫০%
B| 60% / ৬০%
C| 75% / ৭৫%
D| 90% / ৯০%
Shift|28/11/2025 9:00 AM - 10:30 AM
Correct|D
Difficulty|8.22

Q| Which of the following reports, released in October 2025, stated that human - caused PM2.5 pollution was responsible for more than 1.7 million deaths in India in 2022? / ২০২৫ সালের অক্টোবরে প্রকাশিত নিচের কোন রিপোর্টে বলা হয়েছে যে, ২০২২ সালে ভারতে ১.৭ মিলিয়নেরও বেশি মানুষের মৃত্যুর জন্য মানবসৃষ্ট PM2.5 দূষণ দায়ী ছিল?
A| The World Health Organization Air Quality Assessment Report, 2025 / দ্য ওয়ার্ল্ড হেলথ অর্গানাইজেশন এয়ার কোয়ালিটি অ্যাসেসমেন্ট রিপোর্ট, ২০২৫ (The World Health Organization Air Quality Assessment Report, 2025)
B| The Lancet Countdown on Health and Climate Change / দ্য ল্যানসেট কাউন্টডাউন অন হেলথ অ্যান্ড ক্লাইমেট চেঞ্জ (The Lancet Countdown on Health and Climate Change)
C| India State of Environment and Health Overview Report, 2025 / ইন্ডিয়া স্টেট অফ এনভায়রনমেন্ট অ্যান্ড হেলথ ওভারভিউ রিপোর্ট, ২০২৫ (India State of Environment and Health Overview Report, 2025)
D| The UNEP Global Assessment Report on Air Pollution and Health / দ্য ইউএনইপি গ্লোবাল অ্যাসেসমেন্ট রিপোর্ট অন এয়ার পলিউশন অ্যান্ড হেলথ (The UNEP Global Assessment Report on Air Pollution and Health)
Shift|12/12/2025 9:00 AM - 10:30 AM
Correct|B
Difficulty|8.19

Q| Bima Vistaar, an insurance product covering life, health and property for rural people, is likely to be launched by / গ্রামীণ মানুষের জীবন, স্বাস্থ্য এবং সম্পত্তি কভার করে এমন একটি বীমা পণ্য 'বীমা বিস্তার' (Bima Vistaar) সম্ভবত কবে চালু হতে পারে?
A| December 2025 / ডিসেম্বর ২০২৫ (December 2025)
B| March 2026 / মার্চ ২০২৬ (March 2026)
C| January 2026 / জানুয়ারি ২০২৬ (January 2026)
D| November 2025 / নভেম্বর ২০২৫ (November 2025)
Shift|12/12/2025 12:45 PM - 2:15 PM
Correct|A
Difficulty|5.29

Q| As per Ministry of Earth Sciences, the number of seismic observatories in India increased from 80 in 2014 to how many in February 2025? / পৃথিবী বিজ্ঞান মন্ত্রকের মতে, ভারতে ভূমিকম্প পর্যবেক্ষণ কেন্দ্রের সংখ্যা ২০১৪ সালের ৮০টি থেকে বৃদ্ধি পেয়ে ২০২৫ সালের ফেব্রুয়ারিতে কত হয়েছে?
A| 168 / ১৬৮
B| 98 / ৯৮
C| 118 / ১১৮
D| 142 / ১৪২
Shift|28/11/2025 4:30 PM - 6:00 PM
Correct|A
Difficulty|5.23

Q| In November 2025, the standing committee of the National Board for Wildlife approved a proposal to construct a Pinjoli bridge in which of the following wildlife sanctuaries? / ২০২৫ সালের নভেম্বরে, জাতীয় বন্যপ্রাণী বোর্ডের স্থায়ী কমিটি নিচের কোন বন্যপ্রাণী অভয়ারণ্যে একটি পিঞ্জোলি সেতু নির্মাণের প্রস্তাব অনুমোদন করেছে?
A| Dehing Patkai Wildlife Sanctuary / দেহিং পাটকাই বন্যপ্রাণী অভয়ারণ্য (Dehing Patkai Wildlife Sanctuary)
B| Dzukou Valley Wildlife Sanctuary / জুকো উপত্যকা বন্যপ্রাণী অভয়ারণ্য (Dzukou Valley Wildlife Sanctuary)
C| Eaglenest Wildlife Sanctuary / ইগলনেস্ট বন্যপ্রাণী অভয়ারণ্য (Eaglenest Wildlife Sanctuary)
D| Sepahijala Wildlife Sanctuary / সেপাহিজলা বন্যপ্রাণী অভয়ারণ্য (Sepahijala Wildlife Sanctuary)
Shift|30/12/2025 9:00 AM - 10:30 AM
Correct|C
Difficulty|9.07

Q| Which of the following Union Ministers launched India's National Red List Roadmap in October 2025? / নিচের কোন কেন্দ্রীয় মন্ত্রী ২০২৫ সালের অক্টোবরে ভারতের জাতীয় রেড লিস্ট রোডম্যাপ (National Red List Roadmap) চালু করেন?
A| Bhupender Yadav / ভূপেন্দর যাদব (Bhupender Yadav)
B| Kirti Vardhan Singh / কীর্তি বর্ধন সিং (Kirti Vardhan Singh)
C| Nitin Jairam Gadkari / নিতিন জয়রাম গড়করী (Nitin Jairam Gadkari)
D| Piyush Goyal / পীযূষ গোয়েল (Piyush Goyal)
Shift|08/01/2026 12:45 PM - 2:15 PM
Correct|B
Difficulty|8.12

Q| As per the new Know Your Customer (KYC) relaxations of the Reserve Bank of India (RBI) notified in May 2025, low - risk customers are allowed to continue transactions without KYC until / ২০২৫ সালের মে মাসে বিজ্ঞাপিত ভারতীয় রিজার্ভ ব্যাংকের (RBI) নতুন নো ইয়োর কাস্টমার (KYC) শিথিলকরণ অনুযায়ী, কম ঝুঁকিপূর্ণ গ্রাহকদের কত তারিখ পর্যন্ত কেওয়াইসি ছাড়াই লেনদেন চালিয়ে যাওয়ার অনুমতি দেওয়া হয়েছে?
A| 30 June 2025 / ৩০ জুন ২০২৫
B| 30 June 2026 / ৩০ জুন ২০২৬
C| 31 December 2025 / ৩১ ডিসেম্বর ২০২৫
D| 31 March 2026 / ৩১ মার্চ ২০২৬
Shift|06/02/2026 9:00 AM - 10:30 AM
Correct|B
Difficulty|8.05

Q| Which organisation developed the SAKSHAM counter - Unmanned Aircraft System grid launched by the Indian Army in 2025? / ২০২৫ সালে ভারতীয় সেনাবাহিনী কর্তৃক চালু হওয়া 'সক্ষম' (SAKSHAM) কাউন্টার - আনম্যানড এয়ারক্রাফট সিস্টেম গ্রিডটি কোন সংস্থা তৈরি করেছে?
A| Defence Research and Development Organisation Hyderabad / ডিফেন্স রিসার্চ অ্যান্ড ডেভেলপমেন্ট অর্গানাইজেশন হায়দরাবাদ (Defence Research and Development Organisation Hyderabad)
B| Hindustan Aeronautics Limited Nashik / হিন্দুস্তান অ্যারোনটিক্স লিমিটেড নাসিক (Hindustan Aeronautics Limited Nashik)
C| Bharat Electronics Limited Ghaziabad / ভারত ইলেকট্রনিক্স লিমিটেড গাজিয়াবাদ (Bharat Electronics Limited Ghaziabad)
D| Indian Space Research Organisation Bengaluru / ইন্ডিয়ান স্পেস রিসার্চ অর্গানাইজেশন বেঙ্গালুরু (Indian Space Research Organisation Bengaluru)
Shift|10/02/2026 9:00 AM - 10:30 AM
Correct|C
Difficulty|9.19

Q| Under the Ministry of Commerce and Industry (via Startup India), which of the following schemes saw a government allocation of ₹211 crore into the Indian space - tech sector in 2025? / বাণিজ্য ও শিল্প মন্ত্রকের অধীনে (স্টার্টআপ ইন্ডিয়ার মাধ্যমে), ২০২৫ সালে ভারতীয় স্পেস - টেক সেক্টরে কোন প্রকল্পের অধীনে সরকারের পক্ষ থেকে ২১১ কোটি টাকা বরাদ্দ করা হয়েছে?
A| Fund of Funds for Startups (FFS) / ফান্ড অফ ফান্ডস ফর স্টার্টআপস (Fund of Funds for Startups  -  FFS)
