Exam| RRB GROUP-D CBT-I
Q|Which Indian Navy ships took part in Operation Brahma in March 2025? / ২০২৫ সালের মার্চ মাসে 'অপারেশন ব্রহ্মা' (Operation Brahma)-য় ভারতীয় নৌবাহিনীর কোন জাহাজ অংশ নিয়েছিল?
A|INS Vikramaditya and INS Vishal / আইএনএস বিক্রমাদিত্য এবং আইএনএস বিশাল (INS Vikramaditya and INS Vishal)
B|INS Chennai and INS Kesari / আইএনএস চেন্নাই এবং আইএনএস কেসরি (INS Chennai and INS Kesari)
C|INS Vikrant and INS Arihant / আইএনএস বিক্রান্ত এবং আইএনএস অরিহন্ত (INS Vikrant and INS Arihant)
D|INS Satpura and INS Savitri / আইএনএস সাতপুরা এবং আইএনএস সাবিত্রী (INS Satpura and INS Savitri)
Shift| 16/12/2025 9:00 AM - 10:30 AM
Correct|D
Difficulty|8.32

Q|As per the Sustainable Development Goals - National Indicator Framework Progress Report, 2025, published in June 2025, the number of start-ups rose from 453 in 2016 to 34,293 in 2024. This growth in entrepreneurship primarily supports which Sustainable Development Goal (SDG)? / জুন ২০২৫-এ প্রকাশিত টেকসই উন্নয়ন লক্ষ্যমাত্রা - জাতীয় সূচক কাঠামো অগ্রগতি প্রতিবেদন, ২০২৫ অনুসারে, স্টার্ট-আপের সংখ্যা ২০১৬ সালের ৪৫৩টি থেকে বেড়ে ২০২৪ সালে ৩৪,২৯৩টি হয়েছে। উদ্যোক্তা তৈরির এই প্রবৃদ্ধি মূলত কোন টেকসই উন্নয়ন লক্ষ্যমাত্রাকে (SDG) সমর্থন করে?
A|SDG 8 / এস.ডি.জি. ৮ (SDG 8)
B|SDG 10 / এস.ডি.জি. ১০ (SDG 10)
C|SDG 1 / এস.ডি.জি. ১ (SDG 1)
D|SDG 4 / এস.ডি.জি. ৪ (SDG 4)
Shift| 22/12/2025 9:00 AM - 10:30 AM
Correct|A
Difficulty|7.06

Q|The state government of which of the following states, in September 2025, mandated a child protection policy in all residential schools and hostels? / নিচের কোন রাজ্যের রাজ্য সরকার ২০২৫ সালের সেপ্টেম্বর,ে সমস্ত আবাসিক স্কুল এবং হোস্টেলে শিশু সুরক্ষা নীতি বাধ্যতামূলক করেছে?
A|Kerala / কেরালা (Kerala)
B|Andhra Pradesh / অন্ধ্রপ্রদেশ (Andhra Pradesh)
C|Karnataka / কর্ণাটক (Karnataka)
D|Tamil Nadu / তামিলনাড়ু (Tamil Nadu)
Shift| 08/12/2025 9:00 AM - 10:30 AM
Correct|C
Difficulty|9.30

Q|Which team won the National Team of the Year award at the Sportstar Aces Awards 2025? / স্পোর্টস্টার অ্যাসেস অ্যাওয়ার্ডস ২০২৫ (Sportstar Aces Awards 2025)-এ কোন দল ন্যাশনাল টিম অফ দ্য ইয়ার পুরস্কার জিতেছে?
A|Indian Men's Hockey Team / ভারতীয় পুরুষ হকি দল (Indian Men's Hockey Team)
B|Indian Chess Teams / ভারতীয় দাবা দলসমূহ (Indian Chess Teams)
C|Indian Men's Football Team / ভারতীয় পুরুষ ফুটবল দল (Indian Men's Football Team)
D|Indian Women's Cricket Team / ভারতীয় মহিলা ক্রিকেট দল (Indian Women's Cricket Team)
Shift| 11/12/2025 9:00 AM - 10:30 AM
Correct|B
Difficulty|8.47

Q|Under the Pradhan Mantri Bhartiya Janaushadhi Pariyojana, how many Jan Aushadhi Kendras (JAKs) have been opened till 28 February 2025 across India, having an end-to-end IT-enabled supply chain system? / প্রধানমন্ত্রী ভারতীয় জনওষুধ পরিয়োজনার অধীনে, ২৮ ফেব্রুয়ারি ২০২৫ পর্যন্ত ভারত জুড়ে কতগুলি জন ওষুধ কেন্দ্র (JAKs) খোলা হয়েছে, যেগুলিতে সম্পূর্ণ আইটি-সক্ষম সরবরাহ শৃঙ্খল ব্যবস্থা রয়েছে?
A|13,007 / ১৩,০০৭
B|14,057 / ১৪,০৫৭
C|15,057 / ১৫,০৫৭
D|16,507 / ১৬,৫০৭
Shift| 12/12/2025 12:45 PM - 2:15 PM
Correct|C
Difficulty|5.09

Q|As of 4 July 2025, India's foreign exchange reserves stood at / ৪ জুলাই ২০২৫ পর্যন্ত ভারতের বৈদেশিক মুদ্রার সঞ্চয় কত ছিল?
A|₹ 54,68,048 crores / ₹ ৫৪,৬৮,০৪৮ কোটি
B|₹ 67,68,048 crores / ₹ ৬৭,৬৮,০৪৮ কোটি
C|₹ 56,58,048 crores / ₹ ৫৬,৫৮,০৪৮ কোটি
D|₹ 59,68,048 crores / ₹ ৫৯,৬৮,০৪৮ কোটি
Shift| 12/12/2025 12:45 PM - 2:15 PM
Correct|D
Difficulty|9.24

Q|Which event was scheduled for 27 June 2025, regarding the DR Congo-Rwanda agreement? / ডিআর কঙ্গো-রুয়ান্ডা চুক্তির বিষয়ে ২৭ জুন ২০২৫ তারিখে কোন ইভেন্টটি নির্ধারিত ছিল?
A|Formal signing by ministers / মন্ত্রীদের দ্বারা আনুষ্ঠানিক স্বাক্ষর
B|UN Security Council resolution / জাতিসংঘ নিরাপত্তা পরিষদের প্রস্তাব
C|Initial talks / প্রাথমিক আলোচনা
D|Deployment of peacekeepers / শান্তি রক্ষীদের মোতায়েন
Shift| 22/12/2025 9:00 AM - 10:30 AM
Correct|D
Difficulty|8.71

Q|Which of the following national parks emerged as one of the two top-performing protected areas in India, earning a Management Effectiveness Evaluation (MEE) score of 92.97%, in the assessment conducted by the Wildlife Institute of India in June 2025? / ২০২৫ সালের জুনে ওয়াইল্ডলাইফ ইনস্টিটিউট অফ ইন্ডিয়া দ্বারা পরিচালিত মূল্যায়নে কোন জাতীয় উদ্যান ৯২.৯৭% ম্যানেজমেন্ট ইফেক্টিভনেস ইভালুয়েশন (MEE) স্কোর অর্জন করে ভারতের দুটি শীর্ষ-পারফর্মিং সুরক্ষিত এলাকার একটি হিসেবে আত্মপ্রকাশ করেছিল?
A|Great Himalayan National Park / গ্রেট হিমালয়ান জাতীয় উদ্যান (Great Himalayan National Park)
B|Dachigam National Park / দাচিগাম জাতীয় উদ্যান (Dachigam National Park)
C|Ranthambore National Park / রণথম্বোর জাতীয় উদ্যান (Ranthambore National Park)
D|Nanda Devi National Park / নন্দা দেবী জাতীয় উদ্যান (Nanda Devi National Park)
Shift| 30/12/2025 4:30 PM - 6:00 PM
Correct|B
Difficulty|6.28

Q|In June 2025, the World Bank approved a ₹ 3,700 crore loan for lake rejuvenation in which of the following cities of India to aid flood resilience? / ২০২৫ সালের জুনে, বিশ্বব্যাংক বন্যার স্থিতিস্থাপকতায় সহায়তার জন্য ভারতের নিচের কোন শহরের হ্রদ পুনরুজ্জীবনের জন্য ₹ ৩,৭০০ কোটি ঋণের অনুমোদন দিয়েছে?
A|Chennai / চেন্নাই (Chennai)
B|New Delhi / নতুন দিল্লি (New Delhi)
C|Hyderabad / হায়দ্রাবাদ (Hyderabad)
D|Bengaluru / বেঙ্গালুরু (Bengaluru)
Shift| 16/12/2025 4:30 PM - 6:00 PM
Correct|D
Difficulty|9.34

Q|What is the name of the new defence facility inaugurated by Rajnath Singh in New Delhi in November 2025? / ২০২৫ সালের নভেম্বর,ে নয়াদিল্লিতে রাজনাথ সিং দ্বারা উদ্বোধন করা নতুন প্রতিরক্ষা সুবিধাটির নাম কী?
A|DPSU Bhawan / ডিপিএসইউ ভবন (DPSU Bhawan)
B|National Defence Hub / ন্যাশনাল ডিফেন্স হাব (National Defence Hub)
C|India Defence Parisar / ইন্ডিয়া ডিফেন্স পরিসর (India Defence Parisar)
D|Defence PSU Nilayam / ডিফেন্স পিএসইউ নিলয়ম (Defence PSU Nilayam)
Shift| 02/02/2026 9:00 AM - 10:30 AM
Correct|A
Difficulty|5.74

Q|What was the monthly honorarium announced by the Odisha government for Padma Awardees, starting January 2025? / ২০২৫ সালের জানুয়ারি থেকে শুরু করে ওড়িশা সরকার পদ্ম পুরস্কারপ্রাপ্তদের জন্য কত টাকার মাসিক সম্মানী ভাতা ঘোষণা করেছে?
A|₹ 35,000 / ₹ ৩৫,০০০
B|₹ 30,000 / ₹ ৩০,০০০
C|₹ 20,000 / ₹ ২০,০০০
D|₹ 25,000 / ₹ ২৫,০০০
Shift| 24/12/2025 4:30 PM - 6:00 PM
Correct|B
Difficulty|9.23

Q|At which event was the ENDOVEDA platform for efficient endoscopy reporting unveiled in July 2025? / ২০২৫ সালের জুলাই মাসে দক্ষতার সাথে এন্ডোস্কোপি রিপোর্টিংয়ের জন্য এন্ডোভেদা (ENDOVEDA) প্ল্যাটফর্ম কোন ইভেন্টে উন্মোচিত হয়েছিল?
A|Global Gastro Summit, Hyderabad / গ্লোবাল গ্যাস্ট্রো সামিট, হায়দ্রাবাদ (Global Gastro Summit, Hyderabad)
B|India Health Conclave, New Delhi / ইন্ডিয়া হেলথ কনক্লেভ, নতুন দিল্লি (India Health Conclave, New Delhi)
C|MedTech Expo 2025, Bengaluru / মেডটেক এক্সপো ২০২৫, বেঙ্গালুরু (MedTech Expo 2025, Bengaluru)
D|Endocon 2025, Jaipur / এন্ডোকন ২০২৫, জয়পুর (Endocon 2025, Jaipur)
Shift| 23/12/2025 12:45 PM - 2:15 PM
Correct|D
Difficulty|7.69

Q|According to the second edition of the North Eastern Region District SDG Index (2023-24) released in July 2025, which district recorded the highest SDG score in North East India, with a score of 81.43? / ২০২৫ সালের জুলাই মাসে প্রকাশিত নর্থ ইস্টার্ন রিজিয়ন ডিস্ট্রিক্ট এস.ডি.জি. ইনডেক্স (২০২৩-২৪)-এর দ্বিতীয় সংস্করণ অনুসারে, কোন জেলা ৮১.৪৩ স্কোরের সাথে উত্তর-পূর্ব ভারতে সর্বোচ্চ এস.ডি.জি. স্কোর রেকর্ড করেছে?
A|Hnahthial / হ্নাহথিয়াল (Hnahthial)
B|Aizawl / আইজল (Aizawl)
C|Kohima / কোহিমা (Kohima)
D|Gomati / গোমতী (Gomati)
Shift| 09/01/2026 4:30 PM - 6:00 PM
Correct|A
Difficulty|5.12

Q|As per the Economic Survey 2024-25, during April-September period of financial year 2024-25, the insurance sector attracted about how much percentage Foreign Direct Investment (FDI) into the services sector? / অর্থনৈতিক সমীক্ষা ২০২৪-২৫ অনুসারে, ২০২৪-২৫ অর্থবর্ষের এপ্রিল-সেপ্টেম্বর, সময়কালে বীমা খাত পরিষেবা খাতে আনুমানিক কত শতাংশ প্রত্যক্ষ বিদেশি বিনিয়োগ (FDI) আকর্ষণ করেছে?
A|76% / ৭৬%
B|55% / ৫৫%
C|68% / ৬৮%
D|62% / ৬২%
Shift| 10/12/2025 12:45 PM - 2:15 PM
Correct|D
Difficulty|8.65

