Exam| RRB GROUP-D CBT-I
D|Delivery of 200th C-130J tail assembly / ২০০তম সি-১৩০জে (C-130J) টেইল অ্যাসেম্বলি সরবরাহ
Shift| 02/02/2026 4:30 PM - 6:00 PM
Correct|B
Difficulty|8.14

Q|Which of the following cities hosted the first Climate Week in May 2025? / নিচের কোন শহর ২০২৫ সালের মে মাসে প্রথম ক্লাইমেট উইক (Climate Week)-এর আয়োজন করেছিল?
A|Mexico City / মেক্সিকো সিটি (Mexico City)
B|Washington / ওয়াশিংটন (Washington)
C|Panama City / পানামা সিটি (Panama City)
D|Rio de Janeiro / রিও ডি জেনিরো (Rio de Janeiro)
Shift| 16/12/2025 4:30 PM - 6:00 PM
Correct|C
Difficulty|6.54

Q|In July 2025, which institution announced India's first Al Plus Campus in Amaravati, Andhra Pradesh? / ২০২৫ সালের জুলাই মাসে, কোন প্রতিষ্ঠান অন্ধ্রপ্রদেশের অমরাবতীতে ভারতের প্রথম এআই প্লাস ক্যাম্পাস (AI Plus Campus) ঘোষণা করেছে?
A|NIT Warangal / এনআইটি ওয়ারাঙ্গেল (NIT Warangal)
B|BITS Pilani / বিআইটিএস পিলানি (BITS Pilani)
C|IIIT Hyderabad / আইআইআইটি হায়দ্রাবাদ (IIIT Hyderabad)
D|IIT Madras / আইআইটি মাদ্রাজ (IIT Madras)
Shift| 27/11/2025 12:45 PM - 2:15 PM
Correct|B
Difficulty|5.71

Q|Which national team claimed their first-ever title at the 2025 IIHF Women's Asia Cup? / কোন জাতীয় দল ২০২৫ সালের আইআইএইচএফ (IIHF) উইমেনস এশিয়া কাপে তাদের প্রথম শিরোপা দাবি করেছে?
A|India / ভারত (India)
B|Japan / জাপান (Japan)
C|China / চীন (China)
D|Philippines / ফিলিপাইন (Philippines)
Shift| 08/12/2025 12:45 PM - 2:15 PM
Correct|D
Difficulty|9.31

Q|Which of the following organised the Summer Book Writing Festival in 2025? / ২০২৫ সালে কে সামার বুক রাইটিং ফেস্টিভ্যাল (Summer Book Writing Festival)-এর আয়োজন করেছিল?
A|HarperCollins / হার্পারকলিন্স (HarperCollins)
B|Random House / র‍্যান্ডম হাউস (Random House)
C|Penguin India / পেঙ্গুইন ইন্ডিয়া (Penguin India)
D|BriBooks / ব্রিবুকস (BriBooks)
Shift| 01/12/2025 9:00 AM - 10:30 AM
Correct|D
Difficulty|6.52

Q|What is the projected global GDP growth rate for 2025, as stated in IMF's January World Economic Outlook Update? / আইএমএফ (IMF)-এর জানুয়ারির ওয়ার্ল্ড ইকোনমিক আউটলুক আপডেট অনুসারে, ২০২৫ সালের জন্য অনুমিত বৈশ্বিক জিডিপি প্রবৃদ্ধির হার কত?
A|3.7% / ৩.৭%
B|2.8% / ২.৮%
C|3.3% / ৩.৩%
D|4.2% / ৪.২%
Shift| 02/02/2026 12:45 PM - 2:15 PM
Correct|C
Difficulty|5.43

Q|Who among the following chaired the Group of Ministers (GoM) that proposed exempting Goods and Services Tax (GST) on life and health insurance policies for individuals? / ২০২৫ সালের আগস্টে, নিচের কে মন্ত্রিগোষ্ঠীর (GoM) সভাপতিত্ব করেছিলেন যা ব্যক্তিগত জীবন এবং স্বাস্থ্য বীমা পলিসির উপর পণ্য ও পরিষেবা কর (GST) ছাড়ের প্রস্তাব করেছিল?
A|Mallu Bhatti Vikramarka / মাল্লু ভাট্টি বিক্রমাক (Mallu Bhatti Vikramarka)
B|Nitin Gadkari / নিতিন গড়করী (Nitin Gadkari)
C|Ajay Seth / অজয় শেঠ (Ajay Seth)
D|Samrat Choudhary / সম্রাট চৌধুরী (Samrat Choudhary)
Shift| 10/02/2026 9:00 AM - 10:30 AM
Correct|D
Difficulty|5.44

Q|Where was the National Cross-Country Championships held on January 12, 2025? / ১২ জানুয়ারি, ২০২৫ তারিখে জাতীয় ক্রস-কান্ট্রি চ্যাম্পিয়নশিপ (National Cross-Country Championships) কোথায় অনুষ্ঠিত হয়েছিল?
A|Rajasthan / রাজস্থান (Rajasthan)
B|Uttar Pradesh / উত্তরপ্রদেশ (Uttar Pradesh)
C|Gujarat / গুজরাট (Gujarat)
D|Karnataka / কর্ণাটক (Karnataka)
Shift| 17/12/2025 4:30 PM - 6:00 PM
Correct|B
Difficulty|8.82

Q|Which missile was showcased and debuted during Republic Day, 2025? / ২০২৫ সালের প্রজাতন্ত্র দিবসে কোন ক্ষেপণাস্ত্রটি প্রদর্শন এবং আত্মপ্রকাশ করা হয়েছিল?
A|BrahMos NG / ব্রহ্মোস এনজি (BrahMos NG)
B|Agni-V / অগ্নি-V (Agni-V)
C|Nirbhay / নির্ভয় (Nirbhay)
D|Pralay / প্রলয় (Pralay)
Shift| 26/12/2025 4:30 PM - 6:00 PM
Correct|D
Difficulty|7.72

Q|A new complex of India's first bio-manufacturing institute, BRIC-National Agri-Food Bio-Manufacturing Institute (BRIC-NABI), aimed at enhancing India's agri-food sector through advanced biotechnology, was inaugurated at ________ in October 2024. / ভারতের প্রথম বায়ো-ম্যানুফ্যাকচারিং ইনস্টিটিউটের একটি নতুন কমপ্লেক্স, বিআরআইসি-ন্যাশনাল এগ্রি-ফুড বায়ো-ম্যানুফ্যাকচারিং ইনস্টিটিউট (BRIC-NABI), যা উন্নত জৈবপ্রযুক্তির মাধ্যমে ভারতের কৃষি-খাদ্য খাতকে উন্নত করার উদ্দেশ্যে তৈরি, ২০২৪ সালের অক্টোবরে কোথায় উদ্বোধন করা হয়েছিল?
A|Chennai / চেন্নাই (Chennai)
B|Guwahati / গুয়াহাটি (Guwahati)
C|Mohali / মোহালি (Mohali)
D|Ahmedabad / আহমেদাবাদ (Ahmedabad)
Shift| 19/12/2025 9:00 AM - 10:30 AM
Correct|C
Difficulty|8.63

Q|Which of the following is a state-of-the-art infrastructure, disaster-resilient facility launched by the Government of India in June 2025 for strengthening disaster preparedness and response mechanisms? / উন্নত দুর্যোগ প্রস্তুতি এবং প্রতিক্রিয়া ব্যবস্থা শক্তিশালী করার জন্য জুন ২০২৫-এ ভারত সরকার দ্বারা চালু করা একটি অত্যাধুনিক অবকাঠামো ও দুর্যোগ-স্থিতিস্থাপক সুবিধা কোনটি?
A|Centralised Crisis Management Centre / সেন্ট্রালাইজড ক্রাইসিস ম্যানেজমেন্ট সেন্টার (Centralised Crisis Management Centre)
B|Advanced Disaster Response and Monitoring Facility / অ্যাডভান্সড ডিসাস্টার রেসপন্স অ্যান্ড মনিটরিং ফেসিলিটি (Advanced Disaster Response and Monitoring Facility)
C|National Disaster Coordination Hub / ন্যাশনাল ডিসাস্টার কোঅর্ডিনেশন হাব (National Disaster Coordination Hub)
D|Integrated Control Room for Emergency Response / ইন্টিগ্রেটেড কন্ট্রোল রুম ফর ইমার্জেন্সি রেসপন্স (Integrated Control Room for Emergency Response)
Shift| 08/12/2025 12:45 PM - 2:15 PM
Correct|D
Difficulty|8.29

Q|Which Indian state released a draft child protection policy on 1 April 2025 inviting public feedback on implementation across institutions? / কোন ভারতীয় রাজ্য ১ এপ্রিল ২০২৫ তারিখে একটি খসড়া শিশু সুরক্ষা নীতি প্রকাশ করেছে এবং প্রতিষ্ঠানগুলিতে এর বাস্তবায়নের বিষয়ে জনসাধারণের মতামত আহ্বান করেছে?
A|Maharashtra / মহারাষ্ট্র (Maharashtra)
B|Gujarat / গুজরাট (Gujarat)
C|Rajasthan / রাজস্থান (Rajasthan)
D|Kerala / কেরালা (Kerala)
Shift| 05/12/2025 12:45 PM - 2:15 PM
Correct|B
Difficulty|7.42

Q|What was the unemployment rate for youth aged 15-29 in April 2025, as per Periodic Labour Force Survey (PLFS)? / পর্যায়ক্রমিক শ্রমশক্তি সমীক্ষা (PLFS) অনুসারে, ২০২৫ সালের এপ্রিলে ১৫-২৯ বছর বয়সী যুবকদের বেকারত্বের হার কত ছিল?
A|13.8% / ১৩.৮%
B|17.2% / ১৭.২%
C|10.7% / ১০.৭%
D|12.3% / ১২.৩%
Shift| 16/12/2025 12:45 PM - 2:15 PM
Correct|D
Difficulty|9.38

Q|As per Union Budget 2025-26, how much corpus has been allocated to the Ministry of Science and Technology to finance private-sector-led research, development, and innovation? / কেন্দ্রীয় বাজেট ২০২৫-২৬ অনুসারে, বেসরকারি খাতের নেতৃত্বে পরিচালিত গবেষণা, উন্নয়ন এবং উদ্ভাবনে অর্থায়নের জন্য বিজ্ঞান ও প্রযুক্তি মন্ত্রককে কত টাকার তহবিল বরাদ্দ করা হয়েছে?
A|₹35,000 crore / ₹৩৫,০০০ কোটি
B|₹20,000 crore / ₹২০,০০০ কোটি
C|₹50,000 crore / ₹৫০,০০০ কোটি
D|₹25,000 crore / ₹২৫,০০০ কোটি
Shift| 15/12/2025 12:45 PM - 2:15 PM
Correct|B
Difficulty|6.71

Q|What is the percentage of the population with access to clean fuels and technology for cooking in the Sustainable Development Report 2025? / ২০২৫ সালের টেকসই উন্নয়ন প্রতিবেদনে রান্নার জন্য বিশুদ্ধ জ্বালানি এবং প্রযুক্তির অ্যাক্সেস থাকা জনসংখ্যার শতাংশ কত?
A|74% / ৭৪%
B|83% / ৮৩%
C|89.3% / ৮৯.৩%
D|79% / ৭৯%
Shift| 17/12/2025 4:30 PM - 6:00 PM
Correct|A
Difficulty|7.49

Q|What was the estimated loss of revenue to the government of Delhi due to the Liquor Policy Scam as per CAG report of 2025? / ২০২৫ সালের সিএজি (CAG) রিপোর্ট অনুসারে লিকার পলিসি কেলেঙ্কারির কারণে দিল্লি সরকারের আনুমানিক কত টাকা রাজস্ব ক্ষতি হয়েছে?
A|₹5,000 crores / ₹৫,০০০ কোটি
B|₹2,000 crores / ₹২,০০০ কোটি
C|₹20,000 crores / ₹২০,০০০ কোটি
D|₹10,000 crores / ₹১০,০০০ কোটি
Shift| 30/12/2025 4:30 PM - 6:00 PM
Correct|B
Difficulty|8.73

Q|Who were the judges of the special bench that ordered an immediate ban on manual scavenging and sewer cleaning in metropolitan cities in early 2025? / ২০২৫ সালের শুরুর দিকে মহানগরগুলিতে ম্যানুয়াল স্ক্যাভেঞ্জিং এবং নর্দমা পরিষ্কারের ওপর অবিলম্বে নিষেধাজ্ঞা জারিকারী বিশেষ বেঞ্চের বিচারক কারা ছিলেন?
A|Justice Ranjan Gogoi and Justice NV Ramana / জাস্টিস রঞ্জন গগৈ এবং জাস্টিস এনভি রমনা (Justice Ranjan Gogoi and Justice NV Ramana)
B|Justice Sudhanshu Dhulia and Justice Aravind Kumar / জাস্টিস সুধাংশু ধুলিয়া এবং জাস্টিস অরবিন্দ কুমার (Justice Sudhanshu Dhulia and Justice Aravind Kumar)
C|Justice UU Lalit and Justice Sanjay Kishan Kaul / জাস্টিস ইউইউ ললিত এবং জাস্টিস সঞ্জয় কিষাণ কৌল (Justice UU Lalit and Justice Sanjay Kishan Kaul)
