Exam| RRB GROUP-D CBT-I
SubTopic| 
QuestionID| GACA-000606

QEN| Which of the following cities served as the venue for the two-day FIBAC banking conference on 'Charting New Frontiers', co-hosted by FICCI and the Indian Banks' Association (IBA) on 25 and 26 August 2025?
QBN| FICCI এবং ইন্ডিয়ান ব্যাংকস অ্যাসোসিয়েশন (IBA)-এর যৌথ উদ্যোগে ২৫ এবং ২৬ আগস্ট ২০২৫-এ 'চার্টিং নতুন ফ্রন্টিয়ার্স' (Charting New Frontiers) শীর্ষক দুই দিনব্যাপী এফআইবিএসি (FIBAC) ব্যাংকিং সম্মেলন কোথায় অনুষ্ঠিত হয়েছিল?
Common| 
Image| 
A| Chennai / চেন্নাই (Chennai)
B| New Delhi / নতুন দিল্লি (New Delhi)
C| Kolkata / কলকাতা (Kolkata)
D| Mumbai / মুম্বাই (Mumbai)
Shift| 09/01/2026 4:30 PM - 6:00 PM
Correct| D
Difficulty| 9.02
Topic| 
SubTopic| 
QuestionID| GACA-000607

QEN| Where was the Senior Asian Wrestling Championship 2025 held?
QBN| সিনিয়র এশিয়ান রেসলিং চ্যাম্পিয়নশিপ ২০২৫ (Senior Asian Wrestling Championship 2025) কোথায় অনুষ্ঠিত হয়েছিল?
Common| 
Image| 
A| Uzbekistan / উজবেকিস্তান (Uzbekistan)
B| Jordan / জর্ডান (Jordan)
C| Qatar / কাতার (Qatar)
D| Saudi Arabia / সৌদি আরব (Saudi Arabia)
Shift| 02/02/2026 9:00 AM - 10:30 AM
Correct| B
Difficulty| 5.40
Topic| 
SubTopic| 
QuestionID| GACA-000608

QEN| How many cities were covered under the National Clean Air Programme (NCAP) by June 2025 to combat air pollution?
QBN| বায়ু দূষণ রোধ করতে জুন ২০২৫ এর মধ্যে ন্যাশনাল ক্লিন এয়ার প্রোগ্রাম (NCAP)-এর অধীনে কতটি শহরকে অন্তর্ভুক্ত করা হয়েছিল?
Common| 
Image| 
A| 121 / ১২১
B| 141 / ১৪১
C| 131 / ১৩১
D| 111 / ১১১
Shift| 30/12/2025 9:00 AM - 10:30 AM
Correct| C
Difficulty| 6.90
Topic| 
SubTopic| 
QuestionID| GACA-000609

QEN| In the 2025 Asian Athletics Championships held in Gumi, South Korea, Tejaswin Shankar made history by becoming the first Indian to win two medals in which specific athletics event?
QBN| দক্ষিণ কোরিয়ার গুমিতে অনুষ্ঠিত ২০২৫ এশিয়ান অ্যাথলেটিক্স চ্যাম্পিয়নশিপে তেজস্ব শঙ্কর কোন নির্দিষ্ট অ্যাথলেটিক ইভেন্টে দুটি পদক জয়ী প্রথম ভারতীয় হিসেবে ইতিহাস সৃষ্টি করেছিলেন?
Common| 
Image| 
A| Heptathlon / হেপ্টাথলন (Heptathlon)
B| Pentathlon / পেন্টাথলন (Pentathlon)
C| Decathlon / ডেক্যাথলন (Decathlon)
D| Triathlon / ট্রায়াথলন (Triathlon)
Shift| 23/12/2025 12:45 PM - 2:15 PM
Correct| C
Difficulty| 5.14
Topic| 
SubTopic| 
QuestionID| GACA-000610

QEN| Who is the youngest-ever winner of the Carnegie Medal for writing in 2025, for 'Glasgow Boys'?
QBN| ২০২৫ সালে 'গ্লাসগো বয়েজ' (Glasgow Boys) রচনার জন্য কার্নেগি মেডেল (Carnegie Medal) জয়ী সর্বকনিষ্ঠ বিজয়ী কে?
Common| 
Image| 
A| Nigel Slater / নাইজেল স্লেটার (Nigel Slater)
B| Charlotte McConaghy / শার্লট ম্যাককোনাগি (Charlotte McConaghy)
C| Banu Mushtaq / বানু মুশতাক (Banu Mushtaq)
D| Margaret McDonald / মার্গারেট ম্যাকডোনাল্ড (Margaret McDonald)
Shift| 08/01/2026 4:30 PM - 6:00 PM
Correct| D
Difficulty| 5.99
Topic| 
SubTopic| 
QuestionID| GACA-000611

QEN| In which of the following weight categories did Manisha Bhanwala win the gold medal at the Asian Wrestling Championships, 2025?
QBN| এশিয়ান রেসলিং চ্যাম্পিয়নশিপ ২০২৫-এ মনীষা ভানওয়ালা নিচের কোন ওজন বিভাগে স্বর্ণপদক জিতেছেন?
Common| 
Image| 
A| 76 kg / ৭৬ কেজি (76 kg)
B| 62 kg / ৬২ কেজি (62 kg)
C| 53 kg / ৫৩ কেজি (53 kg)
D| 59 kg / ৫৯ কেজি (59 kg)
Shift| 09/12/2025 12:45 PM - 2:15 PM
Correct| B
Difficulty| 7.28
Topic| 
SubTopic| 
QuestionID| GACA-000612

QEN| In which state was the 'Viksit Krishi Sankalp Abhiyan (VKSA)' launched by the Union Agriculture Minister Shivraj Singh Chouhan, in May 2025?
QBN| ২০২৫ সালের মে মাসে কেন্দ্রীয় কৃষিমন্ত্রী শিবরাজ সিং চৌহান কোন রাজ্যে 'বিকশিত কৃষি সংকল্প অভিযান' (Viksit Krishi Sankalp Abhiyan - VKSA) চালু করেছিলেন?
Common| 
Image| 
A| Rajasthan / রাজস্থান (Rajasthan)
B| Uttar Pradesh / উত্তরপ্রদেশ (Uttar Pradesh)
C| Telangana / তেলেঙ্গানা (Telangana)
D| Odisha / ওড়িশা (Odisha)
Shift| 24/12/2025 9:00 AM - 10:30 AM
Correct| D
Difficulty| 5.13
Topic| 
SubTopic| 
QuestionID| GACA-000613

QEN| Which customer segment is affected by ICICI Bank's raised minimum balance requirement?
QBN| ১ আগস্ট ২০২৫ থেকে আইসিআইসিআই ব্যাংক (ICICI Bank)-এর বর্ধিত ন্যূনতম ব্যালেন্সের প্রয়োজনীয়তা দ্বারা কোন গ্রাহক বিভাগ প্রভাবিত হচ্ছেন?
Common| 
Image| 
A| All existing savings account holders from 1 August 2025 / ১ আগস্ট ২০২৫ থেকে সমস্ত বিদ্যমান সেভিংস অ্যাকাউন্টধারী (All existing savings account holders from 1 August 2025)
B| Only accounts in rural branches / শুধুমাত্র গ্রামীণ শাখার অ্যাকাউন্টগুলি (Only accounts in rural branches)
C| Joint account holders only / শুধুমাত্র যৌথ অ্যাকাউন্ট ধারকগণ (Joint account holders only)
D| Only new savings accounts opened from 1 August 2025 / শুধুমাত্র ১ আগস্ট ২০২৫ বা তার পরে খোলা নতুন সেভিংস অ্যাকাউন্টগুলি (Only new savings accounts opened from 1 August 2025)
Shift| 27/12/2025 12:45 PM - 2:15 PM
Correct| D
Difficulty| 5.90
Topic| 
SubTopic| 
QuestionID| GACA-000614

QEN| The U.S.-Turkey Nuclear Cooperation Agreement, signed in 2025, primarily focuses on developing which category of advanced nuclear reactors?
QBN| ২০২৫ সালে স্বাক্ষরিত মার্কিন যুক্তরাষ্ট্র-তুরস্ক পারমাণবিক সহযোগিতা চুক্তি মূলত কোন ক্যাটাগরির উন্নত পারমাণবিক চুল্লি (nuclear reactors) উন্নয়নের ওপর ফোকাস করে?
Common| 
Image| 
A| Small Modular Reactors / স্মল মডুলার রিঅ্যাক্টরস (Small Modular Reactors)
B| Fusion Reactors / ফিউশন রিঅ্যাক্টরস (Fusion Reactors)
C| Molten Salt Reactors / মল্টেন সল্ট রিঅ্যাক্টরস (Molten Salt Reactors)
D| Fast Breeder Reactors / ফাস্ট ব্রিডার রিঅ্যাক্টরস (Fast Breeder Reactors)
Shift| 03/02/2026 4:30 PM - 6:00 PM
Correct| A
Difficulty| 7.93
Topic| 
SubTopic| 
QuestionID| GACA-000615

QEN| In 2025, which country requested consultations with India at the World Trade Organization regarding trade measures on solar cells and modules?
QBN| সোলার সেল এবং মডিউলের ওপর বাণিজ্য ব্যবস্থার বিষয়ে ২০২৫ সালে কোন দেশ বিশ্ব বাণিজ্য সংস্থায় (WTO) ভারতের সাথে আলোচনার অনুরোধ করেছিল?
Common| 
Image| 
A| South Korea / দক্ষিণ কোরিয়া (South Korea)
B| China / চীন (China)
C| Brazil / ব্রাজিল (Brazil)
D| Australia / অস্ট্রেলিয়া (Australia)
Shift| 09/02/2026 12:45 PM - 2:15 PM
Correct| B
Difficulty| 7.46
Topic| 
SubTopic| 
QuestionID| GACA-000616

QEN| Accordioning to the Indian Government, by the June 2025, how many Khelo India Centres (KICs) were established for grassroots sports training and athlete development?
QBN| ভারতীয় সরকারের তথ্য অনুযায়ী, জুন ২০২৫ পর্যন্ত তৃণমূল স্তরে খেলাধুলার প্রশিক্ষণ এবং ক্রীড়াবিদ উন্নয়নের জন্য কতগুলি খেলো ইন্ডিয়া সেন্টার (KICs) প্রতিষ্ঠিত হয়েছিল?
Common| 
Image| 
A| 936 / ৯৩৬
B| 1000 / ১০০0
C| 1045 / ১০৪৫
D| 950 / ৯৫০
Shift| 04/02/2026 9:00 AM - 10:30 AM
Correct| C
Difficulty| 6.00
Topic| 
SubTopic| 
QuestionID| GACA-000617

QEN| At which venue was the opening ceremony of the Khelo India Youth Games, 2025, held?
QBN| খেলো ইন্ডিয়া ইউথ গেমস ২০২৫ (Khelo India Youth Games, 2025)-এর উদ্বোধনী অনুষ্ঠান কোন ভেন্যুতে অনুষ্ঠিত হয়েছিল?
Common| 
Image| 
A| Jawaharlal Nehru Stadium / জওহরলাল নেহরু স্টেডিয়াম (Jawaharlal Nehru Stadium)
B| Patliputra Sports Complex / পাটলিপুত্র স্পোর্টস কমপ্লেক্স (Patliputra Sports Complex)
C| Rajgir Sports Complex / রাজগির স্পোর্টস কমপ্লেক্স (Rajgir Sports Complex)
D| Indira Gandhi Indoor Stadium / ইন্দিরা গান্ধী ইনডোর স্টেডিয়াম (Indira Gandhi Indoor Stadium)
Shift| 19/12/2025 9:00 AM - 10:30 AM
Correct| B
Difficulty| 7.66
Topic| 
SubTopic| 
QuestionID| GACA-000618

QEN| According to the Union Budget 2025-26, how many National Centres of Excellence for Skilling are to be set up with global expertise and partnerships to equip Indian youth with the skills required for "Make for India, Make for the World" manufacturing?
QBN| ইউনিয়ন বাজেট ২০২৫-২৬ অনুসারে, "মেক ফর ইন্ডিয়া, মেক ফর দ্য ওয়ার্ল্ড" উৎপাদনের জন্য প্রয়োজনীয় দক্ষতায় ভারতীয় যুবকদের সজ্জিত করার জন্য বৈশ্বিক দক্ষতা এবং অংশীদারিত্বের সাথে কতটি ন্যাশনাল সেন্টার অফ এক্সেলেন্স ফর স্কিলিং (National Centres of Excellence for Skilling) স্থাপন করা হবে?
Common| 
Image| 
A| 10 / ১০
B| 4 / ৪
C| 1 / ১
D| 5 / ৫
Shift| 10/12/2025 9:00 AM - 10:30 AM
Correct| D
Difficulty| 8.64
Topic| 
SubTopic| 
QuestionID| GACA-000619

QEN| In January 2025, the Reserve Bank of India (RBI) lifted restrictions on which two Non-Banking Financial Companies (NBFCs)?
QBN| জানুয়ারি ২০২৫-এ, ভারতীয় রিজার্ভ ব্যাংক (RBI) কোন দুটি নন-ব্যাংকিং ফাইন্যান্সিয়াল কোম্পানির (NBFCs) উপর থেকে নিষেধাজ্ঞা তুলে নিয়েছিল?
Common| 
Image| 
A| Navi Finserv and Shriram Finance / নাভি ফিনসার্ভ এবং শ্রীরাম ফাইন্যান্স (Navi Finserv and Shriram Finance)
B| Arohan and Muthoot Finance / আরোহণ এবং মুথুট ফাইন্যান্স (Arohan and Muthoot Finance)
C| DMI Finance and Muthoot Finance / ডিএমআই ফাইন্যান্স এবং মুথুট ফাইন্যান্স (DMI Finance and Muthoot Finance)
D| Asirvad Microfinance and DMI Finance / আশীর্বাদ মাইক্রোফাইন্যান্স এবং ডিএমআই ফাইন্যান্স (Asirvad Microfinance and DMI Finance)
Shift| 09/12/2025 9:00 AM - 10:30 AM
Correct| D
Difficulty| 5.04
Topic| 
SubTopic| 
QuestionID| GACA-000620

QEN| Which of the following authorities in India issued new directives aimed at regulating asbestos exposure and its disposal in October 2025?
QBN| ভারতের কোন কর্তৃপক্ষ অক্টোবর ২০২৫ সালে অ্যাসবেস্টস এক্সপোজার এবং এর নিষ্কাশন নিয়ন্ত্রণ সংক্রান্ত নতুন নির্দেশিকা জারি করেছে?
Common| 
Image| 
A| High Court of Delhi / দিল্লির উচ্চ আদালত (High Court of Delhi)
B| Central Pollution Control Board (CPCB) / কেন্দ্রীয় দূষণ নিয়ন্ত্রণ বোর্ড (CPCB)
C| Supreme Court of India / ভারতের সুপ্রিম কোর্ট (Supreme Court of India)
D| National Green Tribunal (NGT) / জাতীয় সবুজ ট্রাইব্যুনাল (NGT)
Shift| 05/02/2026 12:45 PM - 2:15 PM
Correct| D
Difficulty| 8.63
Topic| 
SubTopic| 
QuestionID| GACA-000621

QEN| What was the cause of the warehouse explosion in Gujarat in April 2025?
QBN| এপ্রিল ২০২৫-এ গুজরাটে গুদাম বিস্ফোরণের কারণ কী ছিল?
Common| 
Image| 
A| Chemical fire / রাসায়নিক আগুন (Chemical fire)
B| Aluminium powder explosion / অ্যালুমিনিয়াম পাউডার বিস্ফোরণ (Aluminium powder explosion)
C| Short circuit from power gird / পাওয়ার গ্রিড থেকে শর্ট সার্কিট (Short circuit from power grid)
D| Gas leak / গ্যাস লিক (Gas leak)
Shift| 09/01/2026 9:00 AM - 10:30 AM
Correct| B
Difficulty| 8.14
Topic| 
SubTopic| 
QuestionID| GACA-000622

QEN| According to the Union Budget 2025-26, how many new Day Care Cancer Centres will be set up in district hospitals in 2025-26?
QBN| ইউনিয়ন বাজেট ২০২৫-২৬ অনুযায়ী, ২০২৫-২৬ সালে জেলা হাসপাতালগুলিতে কতগুলি নতুন ডে কেয়ার ক্যান্সার সেন্টার স্থাপন করা হবে?
Common| 
Image| 
A| 150 / ১৫০
B| 175 / ১৭৫
C| 100 / ১০০
D| 200 / ২০০
Shift| 10/12/2025 4:30 PM - 6:00 PM
Correct| D
Difficulty| 6.54
Topic| 
SubTopic| 
QuestionID| GACA-000623

QEN| The World Social Summit (Second Summit for Social Development) was scheduled for 4-6 November 2025 in:
QBN| বিশ্ব সামাজিক শীর্ষ সম্মেলন (সামাজিক উন্নয়নের জন্য দ্বিতীয় শীর্ষ সম্মেলন) ৪-৬ নভেম্বর ২০২৫-এ কোথায় নির্ধারিত হয়েছিল?
Common| 
Image| 
A| Nairobi, Kenya / নাইরোবি, কেনিয়া (Nairobi, Kenya)
B| Doha, Qatar / দোহা, কাতার (Doha, Qatar)
C| Geneva, Switzerland / জেনেভা, সুইজারল্যান্ড (Geneva, Switzerland)
D| New York, USA / নিউইয়র্ক, যুক্তরাষ্ট্র (New York, USA)
Shift| 12/12/2025 9:00 AM - 10:30 AM
Correct| B
Difficulty| 5.71
Topic| 
SubTopic| 
QuestionID| GACA-000624

QEN| Under the scheme ADITI (Acing Development of Innovative Technologies), announced at DefConnect 2024, which of the following is the size of the corpus to promote innovation in defence technologies?
QBN| ডিফেকানেক্ট ২০২৪ (DefConnect 2024)-এ ঘোষিত এডিটিআই (ADITI) স্কিমের অধীনে প্রতিরক্ষা প্রযুক্তিতে উদ্ভাবনকে উন্নীত করার জন্য তহবিলের আকার কত?
Common| 
Image| 
A| ₹750 crore / ₹৭৫০ কোটি
B| ₹500 crore / ₹৫০০ কোটি
C| ₹1,000 crore / ₹১,০০০ কোটি
D| ₹250 crore / ₹২৫০ কোটি
Shift| 12/12/2025 9:00 AM - 10:30 AM
Correct| A
Difficulty| 9.31
Topic| 
SubTopic| 
QuestionID| GACA-000625

QEN| Who won the men's race at the 2025 Paris Marathon?
QBN| ২০২৫ সালের প্যারিস ম্যারাথনে পুরুষদের রেসে কে জয়লাভ করেছিলেন?
Common| 
Image| 
A| Bénard Biwott / বার্নার্ড বিওট (Bénard Biwott)
B| Sila Kiptoo / সিলা কিপটু (Sila Kiptoo)
C| Eliud Kipchoge / এলিয়ুড কিপচোগে (Eliud Kipchoge)
D| Ibrahim Hassan / ইব্রাহিম হাসান (Ibrahim Hassan)
Shift| 17/12/2025 9:00 AM - 10:30 AM
Correct| A
Difficulty| 6.52
Topic| 
SubTopic| 
QuestionID| GACA-000626

QEN| In October 2024, which of the following companies was awarded the contract for design, manufacturing and commissioning of two high-speed trainsets by Integral Coach Factory (ICF) to be used in India's first bullet train between Mumbai and Ahmedabad?
QBN| মুম্বাই ও আহমেদাবাদের মধ্যে ভারতের প্রথম বুলেট ট্রেনের জন্য অক্টোবর ২০২৪ সালে ইন্টিগ্রাল কোচ ফ্যাক্টরি (ICF) দ্বারা দুটি হাই-স্পিড ট্রেনসেট ডিজাইন, উৎপাদন এবং কমিশন করার চুক্তি নিম্নলিখিত কোন কোম্পানিকে দেওয়া হয়েছিল?
Common| 
Image| 
A| Rail Coach Factory (RCF) Kapurthala / রেল কোচ ফ্যাক্টরি (RCF) কাপুরথলা [Rail Coach Factory (RCF) Kapurthala]
B| Braithwaite and Co. Limited / ব্রেইথওয়েট অ্যান্ড কোং লিমিটেড (Braithwaite and Co. Limited)
C| Bharat Earth Movers Limited (BEML) / ভারত আর্থ মুভার্স লিমিটেড (BEML) [Bharat Earth Movers Limited (BEML)]
D| Modern Coach Factory (MCF) Raebareli / আধুনিক কোচ ফ্যাক্টরি (MCF) রায়বরেলি [Modern Coach Factory (MCF) Raebareli]
Shift| 30/12/2025 12:45 PM - 2:15 PM
Correct| C
Difficulty| 5.43
Topic| 
SubTopic| 
QuestionID| GACA-000627

QEN| Which of the following initiatives did the Maharashtra Government approve in September 2025 to generate employment in Tier-2 and Tier-3 cities and boost skilled job opportunities?
QBN| টায়ার-২ এবং টায়ার-৩ শহরে কর্মসংস্থান সৃষ্টি এবং দক্ষ চাকরির সুযোগ বাড়াতে মহারাষ্ট্র সরকার সেপ্টেম্বর ২০২৫-এ নিচের কোন উদ্যোগটি অনুমোদন করেছে?
Common| 
Image| 
A| Free Urban Transit Support Scheme for job seekers / চাকরিপ্রার্থীদের জন্য ফ্রি আরবান ট্রানজিট সাপোর্ট স্কিম (Free Urban Transit Support Scheme for job seekers)
B| Mandatory Local Employment Reservation framework in enterprises / এন্টারপ্রাইজগুলিতে বাধ্যতামূলক স্থানীয় কর্মসংস্থান সংরক্ষণ কাঠামো (Mandatory Local Employment Reservation framework in enterprises)
C| Targeted Wage Subsidy Programme for unskilled labourers / অদক্ষ শ্রমিকদের জন্য লক্ষ্যযুক্ত মজুরি ভর্তুকি কর্মসূচি (Targeted Wage Subsidy Programme for unskilled labourers)
D| Global Capability Center policy to expand centres across the state / রাজ্য জুড়ে কেন্দ্রগুলি প্রসারিত করার জন্য গ্লোবাল ক্যাপাবিলিটি সেন্টার নীতি (Global Capability Center policy to expand centres across the state)
Shift| 27/12/2025 9:00 AM - 10:30 AM
Correct| D
Difficulty| 5.44
Topic| 
SubTopic| 
QuestionID| GACA-000628

QEN| In September 2025, Justice Shree Chandrashekhar took oath as the Chief Justice of which High Court, following his appointment by the Government of India?
QBN| সেপ্টেম্বর ২০২৫ সালে, ভারত সরকারের নিয়োগের পর বিচারপতি শ্রী চন্দ্রশেখর কোন হাইকোর্টের প্রধান বিচারপতি হিসেবে শপথ গ্রহণ করেন?
Common| 
Image| 
A| Calcutta High Court / কলকাতা হাইকোর্ট (Calcutta High Court)
B| Rajasthan High Court / রাজস্থান হাইকোর্ট (Rajasthan High Court)
C| Bombay High Court / বোম্বে হাইকোর্ট (Bombay High Court)
D| Delhi High Court / দিল্লি হাইকোর্ট (Delhi High Court)
Shift| 29/12/2025 12:45 PM - 2:15 PM
Correct| C
Difficulty| 8.82
Topic| 
SubTopic| 
QuestionID| GACA-000629

QEN| Which day is recognised to promote cycling as a sustainable mode of transport internationally and India as well?
QBN| আন্তর্জাতিকভাবে এবং ভারতেও সাইকেল চালনাকে টেকসই যাতায়াত মাধ্যম হিসেবে প্রচার করার জন্য কোন দিনটিকে স্বীকৃতি দেওয়া হয়েছে?
Common| 
Image| 
A| 3 June / ৩ জুন (3 June)
B| 12 May / ১২ মে (12 May)
C| 13 February / ১৩ ফেব্রুয়ারি (13 February)
D| 12 April / ১২ এপ্রিল (12 April)
Shift| 10/12/2025 12:45 PM - 2:15 PM
Correct| A
Difficulty| 7.72
Topic| 
SubTopic| 
QuestionID| GACA-000630

QEN| Which of the following was launched by the Ministry of New and Renewable Energy in September 2025, aligning with India's Net Zero and renewable energy goals?
QBN| ভারতের নিট জিরো এবং নবায়নযোগ্য শক্তির লক্ষ্যগুলির সাথে সামঞ্জস্য রেখে সেপ্টেম্বর ২০২৫ সালে নতুন এবং নবায়নযোগ্য শক্তি মন্ত্রক নিচের কোনটি চালু করেছিল?
Common| 
Image| 
A| National Offshore Wind Energy Mission / ন্যাশনাল অফশোর উইন্ড এনার্জি মিশন (National Offshore Wind Energy Mission)
B| National Wind Energy Policy / ন্যাশনাল উইন্ড এনার্জি পলিসি (National Wind Energy Policy)
C| National Solar Energy Sustainability Framework / ন্যাশনাল সোলার এনার্জি সাসটেইনেবিলিটি ফ্রেমওয়ার্ক (National Solar Energy Sustainability Framework)
D| National Policy on Geothermal Energy / ন্যাশনাল পলিসি অন জিওথার্মাল এনার্জি (National Policy on Geothermal Energy)
Shift| 19/12/2025 12:45 PM - 2:15 PM
Correct| D
Difficulty| 8.63
Topic| 
SubTopic| 
QuestionID| GACA-000631

QEN| Who earned the 'Game Changer' award at the Women's Football Awards, 2025?
QBN| উইমেনস ফুটবল অ্যাওয়ার্ডস, ২০২৫-এ কে 'গেম চেঞ্জার' (Game Changer) পুরস্কার অর্জন করেছেন?
Common| 
Image| 
A| Keira Walsh / কিয়েরা ওয়ালশ (Keira Walsh)
B| Anita Asante / অনিতা আসেন্তে (Anita Asante)
C| Bethany England / বেথানি ইংল্যান্ড (Bethany England)
D| Viviane Asseyi / ভিভিয়ানে আসেইই (Viviane Asseyi)
Shift| 28/11/2025 9:00 AM - 10:30 AM
Correct| B
Difficulty| 8.29
Topic| 
SubTopic| 
QuestionID| GACA-000632

QEN| India is drafting its first comprehensive framework, National Adaptation Plan (NAP), to be submitted to the United Nations Framework Convention on Climate Change (UNFCCC) by September 2025 in compliance with the
QBN| প্যারিস চুক্তির সাথে সঙ্গতি রেখে সেপ্টেম্বর ২০২৫ সালের মধ্যে জাতিসংঘের জলবায়ু পরিবর্তন সংক্রান্ত কনভেনশনে (UNFCCC) জমা দেওয়ার জন্য ভারত তার প্রথম ব্যাপক ফ্রেমওয়ার্ক, ন্যাশনাল অ্যাডাপ্টেশন প্ল্যান (NAP) ড্রাফট করছে। এটি কোন চুক্তির সাথে সম্পর্কিত?
Common| 
Image| 
A| Paris Agreement / প্যারিস চুক্তি (Paris Agreement)
B| Kyoto Protocol / কিয়োটো প্রোটোকল (Kyoto Protocol)
C| Cartagena Protocol / কার্টাজেনা প্রোটোকল (Cartagena Protocol)
D| Montreal Convention / মন্ট্রিল কনভেনশন (Montreal Convention)
Shift| 01/12/2025 9:00 AM - 10:30 AM
Correct| A
Difficulty| 7.42
Topic| 
SubTopic| 
QuestionID| GACA-000633

QEN| Which Indian union territory assembly first adopted the National e-Vidhan Application (NeVA) on 9 June 2025?
QBN| কোন ভারতীয় কেন্দ্রশাসিত অঞ্চলের বিধানসভা ৯ জুন ২০২৫-এ প্রথম ন্যাশনাল ই-বিধান অ্যাপ্লিকেশন (NeVA) গ্রহণ করেছিল?
Common| 
Image| 
A| Chandigarh / চণ্ডীগড় (Chandigarh)
B| Puducherry / পুদুচেরি (Puducherry)
