Exam| RRB GROUP-D CBT-I
QEN| In September 2025, heavy rains caused flash floods and landslides in the Nandanagar block of which district, forcing a massive NDRF
QBN| SDRF operation? / সেপ্টেম্বর ২০২৫-এ, ভারী বর্ষণের ফলে কোন জেলার নন্দপ্রয়াগ/নন্দনগর ব্লকে আকস্মিক বন্যা ও ধস নেমেছিল, যার ফলে ব্যাপক এনডিআরএফ/এসডিআরএফ (NDRF/SDRF) উদ্ধার অভিযান চালাতে হয়েছিল?
Common| 
Image| 
A| Almora / আলমোড়া (Almora)
B| Chamoli / চামোলি (Chamoli)
C| Pithoragarh / পিথোরাগড় (Pithoragarh)
D| Rudraprayag / রুদ্রপ্রয়াগ (Rudraprayag)
Shift| 26/12/2025 4:30 PM - 6:00 PM
Correct| B
Difficulty| 9.02
Topic| 
SubTopic| 
QuestionID| GACA-000907

QEN| In November 2025, which Indian state rolled out the amended Bharat Net Scheme across its territory, aiming in part to support real-time monitoring in sensitive border zones affected by regional disputes?
QBN| নভেম্বর ২০২৫-এ, কোন ভারতীয় রাজ্য সংবেদনশীল সীমান্ত অঞ্চলে রিয়েল-টাইম মনিটরিংয়ে সহায়তা করার উদ্দেশ্যে তার রাজ্য জুড়ে সংশোধিত ভারত নেট স্কিম চালুর সিদ্ধান্ত নিয়েছে?
Common| 
Image| 
A| Rajasthan / রাজস্থান (Rajasthan)
B| Haryana / হরিয়ানা (Haryana)
C| Punjab / পাঞ্জাব (Punjab)
D| Gujarat / গুজরাট (Gujarat)
Shift| 27/12/2025 12:45 PM - 2:15 PM
Correct| C
Difficulty| 5.40
Topic| 
SubTopic| 
QuestionID| GACA-000908

QEN| Who defeated Tanushree Pandey in the final of the World Soft Tennis Championship, 2024, held at Jingshan, China, in November 2024?
QBN| নভেম্বর ২০২৪-এ চীনের জিংশানে অনুষ্ঠিত ওয়ার্ল্ড সফট টেনিস চ্যাম্পিয়নশিপ ২০২৪-এর ফাইনালে তনুশ্রী পান্ডেকে কে পরাজিত করেছিলেন?
Common| 
Image| 
A| Chiang Min Yu / চিয়াং মিন ইউ (Chiang Min Yu)
B| Yuki Tanaka / ইউকি তানাকা (Yuki Tanaka)
C| Liu Wei / লিউ ওয়েই (Liu Wei)
D| Kim Soo Jin / কিম সু জিন (Kim Soo Jin)
Shift| 09/01/2026 9:00 AM - 10:30 AM
Correct| A
Difficulty| 6.90
Topic| 
SubTopic| 
QuestionID| GACA-000909

QEN| Which of the following initiative was launched on 21 March 2025, by the Ministry of Science and Technology to offer structured biotech mentorship?
QBN| বায়োটেক মেন্টরশিপ প্রদানের জন্য ২১ মার্চ ২০২৫ তারিখে বিজ্ঞান ও প্রযুক্তি মন্ত্রক দ্বারা নিচের কোন উদ্যোগটি চালু করা হয়েছিল?
Common| 
Image| 
A| BioSaarthi Mentorship Initiative / বায়োসারথী মেন্টরশিপ ইনিশিয়েটিভ (BioSaarthi Mentorship Initiative)
B| BioNurture Mentorship Programme / বায়োনার্চার মেন্টরশিপ প্রোগ্রাম (BioNurture Mentorship Programme)
C| BioInnovate India / বায়োইনোভেশন ইন্ডিয়া (BioInnovate India)
D| Biotech Startup Mission / বায়োটেক স্টার্টআপ মিশন (Biotech Startup Mission)
Shift| 11/12/2025 9:00 AM - 10:30 AM
Correct| A
Difficulty| 5.14
Topic| 
SubTopic| 
QuestionID| GACA-000910

QEN| At the World Governments Summit 2025 in Dubai, which of the following awards recognised pioneering government initiatives worldwide for innovation and social impact?
QBN| দুবাইতে অনুষ্ঠিত ওয়ার্ল্ড গভর্নমেন্টস সামিট ২০২৫-এ উদ্ভাবন এবং সামাজিক প্রভাবের জন্য বিশ্বের অগ্রগামী সরকারি উদ্যোগগুলিকে স্বীকৃতিস্বরূপ কোন পুরস্কারে সম্মানিত করা হয়েছিল?
Common| 
Image| 
A| Global Public Leadership Award / গ্লোবাল পাবলিক লিডারশিপ অ্যাওয়ার্ড (Global Public Leadership Award)
B| Smart Governance Achievement Award / স্মার্ট গভর্ন্যান্স অ্যাচিভমেন্ট অ্যাওয়ার্ড (Smart Governance Achievement Award)
C| Government Innovation Excellence Award / গভর্নমেন্ট​ ইনোভেশন এক্সিলেন্স অ্যাওয়ার্ড (Government Innovation Excellence Award)
D| Global Government Excellence Award / গ্লোবাল গভর্নমেন্ট​ এক্সিলেন্স অ্যাওয়ার্ড (Global Government Excellence Award)
Shift| 04/02/2026 12:45 PM - 2:15 PM
Correct| C
Difficulty| 5.99
Topic| 
SubTopic| 
QuestionID| GACA-000911

QEN| Under which Article of the Indian Constitution has the Appropriation Bill (No.2), 2025, been passed in Parliament?
QBN| ভারতীয় সংবিধানের কোন অনুচ্ছেদের অধীনে সংসদে অর্থ মঞ্জুরি বিল (নং ২), ২০২৫ [Appropriation Bill (No.2), 2025] পাস করা হয়েছে?
Common| 
Image| 
A| Article 117 / অনুচ্ছেদ ১১৭ (Article 117)
B| Article 114 / অনুচ্ছেদ ১১৪ (Article 114)
C| Article 118 / অনুচ্ছেদ ১১৮ (Article 118)
D| Article 119 / অনুচ্ছেদ ১১৯ (Article 119)
Shift| 30/12/2025 4:30 PM - 6:00 PM
Correct| B
Difficulty| 7.28
Topic| 
SubTopic| 
QuestionID| GACA-000912

QEN| In June 2025, the Monetary Policy Committee (MPC) voted to reduce the policy repo rate by 50 basis points (bps) with immediate effect to:
QBN| জুন ২০২৫-এ, মুদ্রানীতি কমিটি (MPC) তাৎক্ষণিক প্রভাব সহ পলিসি রেপো রেট ৫০ বেসিস পয়েন্ট কমিয়ে কত শতাংশ করার পক্ষে ভোট দিয়েছে?
Common| 
Image| 
A| 7.50% / ৭.৫০%
B| 6.50% / ৬.৫০%
C| 4.50% / ৪.৫০%
D| 5.50% / ৫.৫০%
Shift| 19/12/2025 12:45 PM - 2:15 PM
Correct| D
Difficulty| 5.13
Topic| 
SubTopic| 
QuestionID| GACA-000913

QEN| When was the International Day of Families observed in 2025?
QBN| ২০২৫ সালে আন্তর্জাতিক পরিবার দিবস (International Day of Families) কবে পালিত হয়েছিল?
Common| 
Image| 
A| April 15 / ১৫ এপ্রিল
B| July 11 / ১১ জুলাই
C| May 15 / ১৫ মে
D| June 1 / ১ জুন
Shift| 30/12/2025 9:00 AM - 10:30 AM
Correct| C
Difficulty| 5.90
Topic| 
SubTopic| 
QuestionID| GACA-000914

QEN| The Indian Navy’s home-built Shivalik-class stealth frigate equipped with guided missiles that took part in the JAIMEX-25 naval exercise held from 16 to 18 October 2025 was ______.
QBN| ১৬ থেকে ১৮ অক্টোবর ২০২৫ পর্যন্ত অনুষ্ঠিত জাইমেক্স-২৫ (JAIMEX-25) নৌ মহড়ায় অংশগ্রহণকারী গাইডেড মিসাইল সজ্জিত ভারতীয় নৌবাহিনীর নিজস্ব তৈরি শিভালিক-ক্লাস স্টিলথ ফ্রিগেট কোনটি ছিল?
Common| 
Image| 
A| INS Satpura / আই.এন.এস. সাতপুরা (INS Satpura)
B| INS Sahyadri / আই.এন.এস. সহ্যাদ্রি (INS Sahyadri)
C| INS Shivalik / আই.এন.এস. শিভালিক (INS Shivalik)
D| INS Kolkata / আই.এন.এস. কলকাতা (INS Kolkata)
Shift| 16/12/2025 9:00 AM - 10:30 AM
Correct| C
Difficulty| 7.93
Topic| 
SubTopic| 
QuestionID| GACA-000915

QEN| How many sports were featured in the Khelo India Youth Games, 2025?
QBN| খেলো ইন্ডিয়া ইউথ গেমস, ২০২৫-এ কতগুলি খেলা অন্তর্ভুক্ত ছিল?
Common| 
Image| 
A| 30 / ৩০টি
B| 29 / ২৯টি
C| 28 / ২৮টি
D| 27 / ২৭টি
Shift| 26/12/2025 12:45 PM - 2:15 PM
Correct| C
Difficulty| 7.46
Topic| 
SubTopic| 
QuestionID| GACA-000916

QEN| Which company unveiled Dragon Copilot, AI voice assistant for healthcare in March 2025?
QBN| স্বাস্থ্যসেবার জন্য এআই ভয়েস অ্যাসিস্ট্যান্ট 'ড্রাগন কোপাইলট' (Dragon Copilot) মার্চ ২০২৫-এ কোন কোম্পানি উন্মোচন করেছিল?
Common| 
Image| 
A| Apple / অ্যাপল (Apple)
B| Microsoft / মাইক্রোসফ্ট (Microsoft)
C| Infosys / ইনফোসিস (Infosys)
D| SpaceX / স্পেসএক্স (SpaceX)
Shift| 14/12/2025 12:45 PM - 2:15 PM
Correct| B
Difficulty| 6.00
Topic| 
SubTopic| 
QuestionID| GACA-000917

QEN| Which edition of the India-Mongolia Joint Military Exercise NOMADIC ELEPHANT, was held from 31 May to 13 June 2025 in Ulaanbaatar, Mongolia?
QBN| ভারত-মঙ্গোলিয়া যৌথ সামরিক মহড়া 'নোমাডিক এলিফ্যান্ট' (NOMADIC ELEPHANT)-এর কততম সংস্করণ ৩১ মে থেকে ১৩ জুন ২০২৫ পর্যন্ত মঙ্গোলিয়ার উলানবাটরে অনুষ্ঠিত হয়েছিল?
Common| 
Image| 
A| 13th / ১৩তম
B| 19th / ১৯তম
C| 17th / ১৭তম
D| 15th / ১৫তম
Shift| 03/12/2025 4:30 PM - 6:00 PM
Correct| D
Difficulty| 7.66
Topic| 
SubTopic| 
QuestionID| GACA-000918

QEN| The Waqf (Amendment) Act, 2025 mandates the representation of how many Muslim women on Waqf boards?
QBN| ওয়াকফ (সংশোধনী) আইন, ২০২৫ অনুযায়ী ওয়াকফ বোর্ডে কতজন মুসলিম নারীর প্রতিনিধিত্ব বাধ্যতামূলক করা হয়েছে?
Common| 
Image| 
A| Four / চারজন
B| Two / দুজন
C| One / একজন
D| Three / তিনজন
Shift| 15/12/2025 12:45 PM - 2:15 PM
Correct| B
Difficulty| 8.64
Topic| 
SubTopic| 
QuestionID| GACA-000919

QEN| In which of the following Indian cities was the India–Sri Lanka Joint Military Exercise ‘MITRA SHAKTI-2025’ conducted?
QBN| ভারত-শ্রীলঙ্কা যৌথ সামরিক মহড়া 'মিত্র শক্তি-২০২৫' (MITRA SHAKTI-2025) ভারতের কোন শহরে পরিচালিত হয়েছিল?
Common| 
Image| 
A| Chennai (Tamil Nadu) / চেন্নাই, তামিলনাড়ু (Chennai, Tamil Nadu)
B| Pune (Maharashtra) / পুনে, মহারাষ্ট্র (Pune, Maharashtra)
C| Belagavi (Karnataka) / বেলাগাভি, কর্ণাটক (Belagavi, Karnataka)
D| Jaipur (Rajasthan) / জয়পুর, রাজস্থান (Jaipur, Rajasthan)
Shift| 23/12/2025 4:30 PM - 6:00 PM
Correct| C
Difficulty| 5.04
Topic| 
SubTopic| 
QuestionID| GACA-000920

QEN| In May 2025, Sudan’s army appointed whom among the following as a new Prime Minister after two years of civil war?
QBN| দুই বছরের গৃহযুদ্ধের পর মে ২০২৫-এ সুদানের সেনাবাহিনী কাকে নতুন প্রধানমন্ত্রী হিসেবে নিযুক্ত করেছে?
Common| 
Image| 
A| Kamil al‑Taib Idris / কামিল আল-তৈয়ব ইদ্রিস (Kamil al-Taib Idris)
B| Dafallah al‑Haj Ali / দফাল্লাহ আল-হাজ আলী (Dafallah al-Haj Ali)
C| Osman Hussein / ওসমান হোসেন (Osman Hussein)
D| Abdalla Hamdok / আবদাল্লা হামদোক (Abdalla Hamdok)
Shift| 05/12/2025 4:30 PM - 6:00 PM
Correct| A
Difficulty| 8.63
Topic| 
SubTopic| 
QuestionID| GACA-000921

QEN| In 2025, which schemes provide retired athletes career transition support, financial aid, and medical benefits?
QBN| ২০২৫ সালে অবসরপ্রাপ্ত ক্রীড়াবিদদের ক্যারিয়ার রূপান্তর সহায়তা, আর্থিক সহায়তা এবং চিকিৎসা সুবিধা প্রদানের জন্য কোন প্রকল্পগুলি কাজ করে?
Common| 
Image| 
A| Khelo India and PYKKA / খেলো ইন্ডিয়া এবং পাইকা (Khelo India and PYKKA)
B| RESET and Pandit Deendayal Fund / রিসেট এবং পণ্ডিত দীনদয়াল ফান্ড (RESET and Pandit Deendayal Fund)
C| National Awards and TOPS / জাতীয় পুরস্কার এবং টপস (National Awards and TOPS)
D| NSFs and SAI / এন.এস.এফ. এবং সাই (NSFs and SAI)
Shift| 03/12/2025 9:00 AM - 10:30 AM
Correct| C
Difficulty| 8.14
Topic| 
SubTopic| 
QuestionID| GACA-000922

QEN| In May 2025, the Reserve Bank of India (RBI) initiated reviewing digital wallets linked to which of the following sectors after BluSmart shutdown?
QBN| ব্লুস্মার্ট (BluSmart) বন্ধ হয়ে যাওয়ার পর মে ২০২৫-এ ভারতীয় রিজার্ভ ব্যাংক (RBI) কোন খাতের সাথে যুক্ত ডিজিটাল ওয়ালেটগুলি পর্যালোচনার উদ্যোগ নেয়?
Common| 
Image| 
A| Electric vehicle services / বৈদ্যুতিক যানবাহন পরিষেবা (Electric vehicle services)
B| Healthcare / স্বাস্থ্যসেবা (Healthcare)
C| Food delivery / খাদ্য সরবরাহ (Food delivery)
D| Travel bookings / ভ্রমণ বুকিং (Travel bookings)
Shift| 09/02/2026 12:45 PM - 2:15 PM
Correct| A
Difficulty| 6.54
Topic| 
SubTopic| 
QuestionID| GACA-000923

QEN| In August 2025, the Reserve Bank of India (RBI) appointed which individual as an ex-officio member of the Monetary Policy Committee, ahead of the October policy meeting?
QBN| আগস্ট ২০২৫-এ, অক্টোবর মাসের নীতি বৈঠকের আগে ভারতীয় রিজার্ভ ব্যাংক (RBI) কাকে মুদ্রা নীতি কমিটির পদাধিকারবলে সদস্য হিসেবে নিযুক্ত করেছে?
Common| 
Image| 
A| Indranil Bhattacharyya / ইন্দ্রনীল ভট্টাচার্য (Indranil Bhattacharyya)
B| Rajiv Ranjan / রাজীব রঞ্জন (Rajiv Ranjan)
C| Nirmala Sitharaman / নির্মলা সীতারামন (Nirmala Sitharaman)
D| Michael Patra / মাইকেল পাত্র (Michael Patra)
Shift| 10/02/2026 12:45 PM - 2:15 PM
Correct| B
Difficulty| 5.71
Topic| 
SubTopic| 
QuestionID| GACA-000924

QEN| In the Union Budget, 2025–26, the Government of India announced a comprehensive multi-sectoral 'Rural Prosperity and Resilience' programme that aims ______________.
QBN| কেন্দ্রীয় বাজেট ২০২৫-২৬-এ, ভারত সরকার একটি সমন্বিত বহুখাত ভিত্তিক 'গ্রামীণ সমৃদ্ধি এবং স্থিতিস্থাপকতা' (Rural Prosperity and Resilience) কর্মসূচি ঘোষণা করেছে যার লক্ষ্য—
Common| 
Image| 
A| to address under-employment in agriculture / কৃষিতে ছদ্ম বেকারত্ব দূর করা (To address under-employment in agriculture)
B| to develop the sports facilities in rural areas / গ্রামীণ এলাকায় ক্রীড়া সুবিধা গড়ে তোলা (To develop the sports facilities in rural areas)
C| to address the drop out problem in school / স্কুলে ড্রপ আউট সমস্যা সমাধান করা (To address the drop out problem in school)
D| to address administrative problems in rural areas / গ্রামীণ এলাকায় প্রশাসনিক সমস্যার সমাধান করা (To address administrative problems in rural areas)
Shift| 10/02/2026 12:45 PM - 2:15 PM
Correct| A
Difficulty| 9.31
Topic| 
SubTopic| 
QuestionID| GACA-000925

QEN| What is the name of the new antibiotic developed to combat AMR (Antimicrobial Resistance) in India in December 2024?
QBN| ভারতের চিকিৎসাক্ষেত্রে অণুজীব প্রতিরোধ ক্ষমতা (AMR) মোকাবেলায় ডিসেম্বর ২০২৪-এ তৈরি করা নতুন অ্যান্টিবায়োটিকটির নাম কী?
Common| 
Image| 
A| Cefixime / সেফিক্সিম (Cefixime)
B| Amoxicillin / অ্যামোক্সিসিলিন (Amoxicillin)
C| Nafithromycin / নাফিথ্রোমাইসিন (Nafithromycin)
D| Azithromycin / অ্যাজিথ্রোমাইসিন (Azithromycin)
Shift| 04/12/2025 12:45 PM - 2:15 PM
Correct| C
Difficulty| 6.52
Topic| 
SubTopic| 
QuestionID| GACA-000926

QEN| What is the name of the scheme announced in Union Budget 2025–26 for promoting Indian language books in digital form?
QBN| ডিজিটাল আকারে ভারতীয় ভাষার বই প্রচারের জন্য কেন্দ্রীয় বাজেট ২০২৫-২৬-এ ঘোষিত স্কিমটির নাম কী?
Common| 
Image| 
A| Digital Bharat Granth Scheme / ডিজিটাল ভারত গ্রন্থ স্কিম (Digital Bharat Granth Scheme)
B| Bharatiya Bhasha Pustak Scheme / ভারতীয় ভাষা পুস্তক স্কিম (Bharatiya Bhasha Pustak Scheme)
C| Bhasha Shiksha Abhiyan / ভাষা শিক্ষা অভিযান (Bhasha Shiksha Abhiyan)
D| Vidya Vani Project / বিদ্যা বাণী প্রজেক্ট (Vidya Vani Project)
Shift| 12/12/2025 9:00 AM - 10:30 AM
Correct| B
Difficulty| 5.43
Topic| 
SubTopic| 
QuestionID| GACA-000927

QEN| The inaugural plenary session of the Indian Conservation Conference–2025 was held at which institution in June 2025?
QBN| ইন্ডিয়ান কনজারভেশন কনফারেন্স-২০২৫ (Indian Conservation Conference-2025)-এর উদ্বোধনী প্লেনারি সেশন ২০২৫ সালের জুনে কোন প্রতিষ্ঠানে অনুষ্ঠিত হয়েছিল?
Common| 
Image| 
A| Indian Council of Forestry Research, Jabalpur / ইন্ডিয়ান কাউন্সিল অফ ফরেস্ট্রি রিসার্চ, জবলপুর (Indian Council of Forestry Research, Jabalpur)
B| Forest Research Institute, Dehradun / ফরেস্ট রিসার্চ ইনস্টিটিউট, দেরাদুন (Forest Research Institute, Dehradun)
C| Indian Institute of Science, Bengaluru / ইন্ডিয়ান ইনস্টিটিউট অফ সায়েন্স, বেঙ্গালুরু (Indian Institute of Science, Bengaluru)
D| Wildlife Institute of India, Dehradun / ওয়াইল্ডলাইফ ইনস্টিটিউট অফ ইন্ডিয়া, দেরাদুন (Wildlife Institute of India, Dehradun)
Shift| 09/02/2026 4:30 PM - 6:00 PM
Correct| D
Difficulty| 5.44
Topic| 
SubTopic| 
QuestionID| GACA-000928

QEN| Which of the following organisations or ministries released the report titled ‘India’s Services Sector: Insights from GVA Trends and State-Level Dynamics’ in October 2025?
QBN| অক্টোবর ২০২৫-এ নিচের কোন সংস্থা বা মন্ত্রক 'ইন্ডিয়াজ সার্ভিসেস সেক্টর: ইনসাইটস ফ্রম জিভিএ ট্রেন্ডস অ্যান্ড স্টেট-লেভেল ডায়নামিক্স' শীর্ষক রিপোর্ট প্রকাশ করেছে?
Common| 
Image| 
A| Ministry of Finance / অর্থ মন্ত্রক (Ministry of Finance)
B| Reserve Bank of India / ভারতীয় রিজার্ভ ব্যাংক (Reserve Bank of India)
C| Ministry of Statistics and Programme / পরিসংখ্যান ও কর্মসূচি বাস্তবায়ন মন্ত্রক (Ministry of Statistics and Programme Implementation)
D| NITI Aayog / নীতি আয়োগ (NITI Aayog)
Shift| 23/12/2025 9:00 AM - 10:30 AM
Correct| B
Difficulty| 8.82
Topic| 
SubTopic| 
QuestionID| GACA-000929

QEN| The Lokpal of India celebrated its 1st Foundation Day on which date in 2025?
QBN| লোকপাল অফ ইন্ডিয়া (Lokpal of India) ২০২৫ সালের কোন তারিখে তার ১ম প্রতিষ্ঠা দিবস উদযাপন করেছে?
Common| 
Image| 
A| 15 January / ১৫ জানুয়ারি
B| 16 January / ১৬ জানুয়ারি
C| 30 January / ৩০ জানুয়ারি
D| 31 January / ৩১ জানুয়ারি
Shift| 01/12/2025 4:30 PM - 6:00 PM
Correct| B
Difficulty| 7.72
Topic| 
SubTopic| 
QuestionID| GACA-000930

QEN| Which city hosted the 28th National Conference on e-Governance in September 2025?
QBN| ২০২৫ সালের সেপ্টেম্বরে কোন শহরটি ই-গভর্ন্যান্স সংক্রান্ত ২৮তম জাতীয় সম্মেলনের (28th National Conference on e-Governance) আয়োজন করেছিল?
Common| 
Image| 
A| Visakhapatnam / বিশাখাপত্তনম (Visakhapatnam)
B| New Delhi / নতুন দিল্লি (New Delhi)
C| Hyderabad / হায়দ্রাবাদ (Hyderabad)
D| Bengaluru / বেঙ্গালুরু (Bengaluru)
Shift| 04/02/2026 9:00 AM - 10:30 AM
Correct| A
Difficulty| 8.63
Topic| 
SubTopic| 
QuestionID| GACA-000931

QEN| Who among the following Indians set a javelin throw record of 84.39 m at National Games 2025?
QBN| ২০২৫ সালের জাতীয় গেমসে নিচের কোন ভারতীয় জ্যাভলিন থ্রোয়ার ৮৪.৩৯ মিটার দূরত্বে থ্রো করে রেকর্ড গড়েছেন?
Common| 
Image| 
A| Neeraj Chopra / নীরজ চোপড়া (Neeraj Chopra)
B| Annu Rani / অন্নু রানী (Annu Rani)
C| Sachin Yadav / শচীন যাদব (Sachin Yadav)
D| Shivpal Singh / শিবপাল সিং (Shivpal Singh)
Shift| 24/12/2025 9:00 AM - 10:30 AM
Correct| B
Difficulty| 8.29
Topic| 
SubTopic| 
QuestionID| GACA-000932

QEN| Which of the following cities hosted the 2025 World Aquatics Championships?
QBN| ২০২৫ সালের ওয়ার্ল্ড অ্যাকুয়াটিক্স চ্যাম্পিয়নশিপ (2025 World Aquatics Championships) নিচের কোন শহরে অনুষ্ঠিত হয়েছিল?
Common| 
Image| 
A| Budapest / বুদাপেস্ট (Budapest)
B| Melbourne / মেলবোর্ন (Melbourne)
C| Singapore / সিঙ্গাপুর (Singapore)
D| Doha / দোহা (Doha)
Shift| 11/12/2025 12:45 PM - 2:15 PM
Correct| C
Difficulty| 7.42
Topic| 
SubTopic| 
QuestionID| GACA-000933

QEN| As per Union Budget, 2025-26, what is the total allocation to the Ministry of Defence to strengthen India’s military capabilities?
QBN| কেন্দ্রীয় বাজেট ২০২৫-২৬ অনুসারে, ভারতের সামরিক সক্ষমতা জোরদার করতে প্রতিরক্ষা মন্ত্রককে মোট কত টাকা বরাদ্দ করা হয়েছে?
Common| 
Image| 
A| ₹5,81,210.27 crore / ₹৫,৮১,২১০.২৭ কোটি
B| ₹7,81,210.27 crore / ₹৭,৮১,২১০.২৭ কোটি
C| ₹6,81,210.27 crore / ₹৬,৮১,২১০.২৭ কোটি
D| ₹8,81,210.27 crore / ₹৮,৮১,২১০.২৭ কোটি
Shift| 11/12/2025 12:45 PM - 2:15 PM
Correct| C
Difficulty| 9.38
Topic| 
SubTopic| 
QuestionID| GACA-000934

QEN| Which of the following introduced NACH 3.0 in July 2025, bringing faster and more secure bank transactions under the National Automated Clearing House (NACH) system?
QBN| ২০২৫ সালের জুলাই মাসে ন্যাশনাল অটোমেটেড ক্লিয়ারিং হাউস (NACH) ব্যবস্থার অধীনে দ্রুত এবং আরও নিরাপদ ব্যাংক লেনদেন নিশ্চিত করতে নিচে কে 'NACH 3.0' চালু করেছে?
Common| 
Image| 
A| Reserve Bank of India / ভারতীয় রিজার্ভ ব্যাংক (Reserve Bank of India)
B| National Securities Depository Limited / ন্যাশনাল সিকিউরিটিজ ডিপোজিটরি লিমিটেড (National Securities Depository Limited)
C| National Payments Corporation of India / ন্যাশনাল পেমেন্টস কর্পোরেশন অফ ইন্ডিয়া (National Payments Corporation of India)
D| Life Insurance corporation / লাইফ ইন্স্যুরেন্স কর্পোরেশন (Life Insurance Corporation)
Shift| 03/02/2026 12:45 PM - 2:15 PM
Correct| C
Difficulty| 6.71
Topic| 
SubTopic| 
QuestionID| GACA-000935

QEN| In June 2025, what was the reduced repo rate?
